"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"venire";0,665;-0,767;-0,448;1,08;2,181;-0,099;-2,073
"pranzo";-0,088;0,807;2,796;-0,556;-1,368;4,009;-7,206
"antipasto";7,232;-7,206;-1,368;-0,556;0,287;12,783;-7,206
"accogliente";0,807;-0,798;0,287;-3,893;7,89;-0,384;-0,798
"veramente";-2,42;0,659;-1,546;-0,664;0,2;3,573;0,048
"sicuramente";-0,279;-2,684;-0,135;1,91;5,18;-0,332;-0,279
"gusto";-0,138;0,048;-0,014;-2,025;-3,264;1,878;3,983
"bene";0,807;0,091;-0,001;1,2;-0,001;-1,309;-0,798
"grande";-2,029;0,972;1,439;0,317;-0,272;-0,28;-0,048
"volere";-0,27;0,416;-0,078;2,088;1,915;-3,636;-0,27
"veloce";-0,02;1,158;0,516;-3,444;0,019;2,891;-3,866
"bello";0,219;-0,02;-1,04;-0,366;3,521;0,399;-1,844
"panino";-2,412;35,975;-0,748;-0,402;-0,004;-1,297;-2,412
"carino";0,953;-0,027;-0,266;-5,389;0,325;3,488;-0,541
"cameriere";1,158;-3,866;-4,744;0;6,031;7,669;-6,629
"zona";-0,2;0,036;1,235;1;-0,01;-1,366;-0,2
"piccolo";-0,02;-0,02;0,019;0,418;0,019;-0,944;0,219
"servire";-0,088;0,091;-1,368;0,232;2,796;0,909;-4,357
"ordinare";-1,494;-0,361;-2,123;0,67;2,253;3,745;-1,494
"ben";1,729;-1,068;4,148;-0,779;-0,574;0,055;-1,068
"arrivare";0,412;0;-2,123;0,67;4,379;-0,062;-3,4
"simpatico";0,048;1,971;4,568;-0,664;-1,546;-1,51;-0,138
"mai";-4,611;-0,138;-0,462;-0,664;2,477;-0,036;6,696
"casa";-0,361;-3,4;0,827;-5,645;0,827;6,156;0
"qui";0,972;2,524;0,003;-0,003;1,439;-4,481;-2,029
"pepe";21,565;-1,174;2,949;-5,155;-6,366;2,643;-5,551
"disponibile";-1,371;0;1,669;0,03;0,55;1,127;-5,416
"carciofo";24,344;0,576;-2,266;-3,805;-4,699;3,361;-4,097
"anno";2,235;-0,798;-1,368;-1,848;-0,001;-2,784;15,081
"serata";0,412;-3,4;-2,123;4,393;19,884;-1,795;-6,078
"sapore";-0,929;-2,42;0,2;0,162;0,2;-0,036;1,971
"euro";0,212;-0,749;-2,943;3,907;2,071;-0,809;-0,041
"ambiente";0;-3,4;2,253;-3,017;0,827;3,745;-1,494
"tipico";8,956;-1,585;0,349;-0,193;0,349;-1,28;-1,585
"menù";19,106;-1,494;-2,123;0,67;2,253;-1,795;-6,078
"fresco";-0,749;3,189;-1,176;0,377;-0,206;0,07;-0,041
"così";0,036;4,403;0,256;-0,926;-0,01;-0,372;-1,174
"cacio";18,383;-0,883;3,795;-4,686;-5,787;1,701;-5,046
"sera";0,412;-1,494;-0,075;0,67;0,101;-0,062;0
"secondo";6,857;-3,176;-0,618;-1,062;-0,035;10;-5,812
"qualche";2,524;-0,048;0,003;0,317;0,003;-0,28;-2,029
"pasta";3,189;-2,336;0,653;-4,459;-2,943;10,083;-0,749
"carbonaro";8,956;-1,585;-0,007;-1,364;-4,441;6,773;-1,585
"carne";-0,624;-2,14;-1,012;0,503;0,839;11,1;-4,562
"proprietario";-1,412;0,066;0;-0,127;0,497;-0,163;0,959
"eccellente";5,417;-2,538;0,007;-0,675;0,007;0,024;-0,082
"cliente";-2,958;0,036;0,256;1;1,235;-0,003;-1,174
"buon";-0,749;-0,749;-1,176;3,907;0,653;0,717;-0,749
"atmosfera";1,158;-3,866;0,516;-6,156;1,683;0,399;0,219
"musico";-0,217;-1,412;-4,187;0,15;38,527;-1,078;-3,651
"ingrediente";-5,551;16,06;5,396;-5,155;-1,72;-0,003;-0,2
"gelato";-1,661;-1,661;-1,905;-1,543;0,226;-2,422;42,362
"assolutamente";-0,004;5,751;-0,128;1,858;0,052;-3,855;-1,665
"unico";-0,361;6,283;-4,197;0,67;-0,075;-0,062;0
"tradizione";40,013;-1,765;-0,033;-3,805;-2,266;0,373;-4,097
"tempo";2,138;0,682;-0,498;-0,926;-1,72;0,258;0,036
"friggere";0,43;-0,507;5,429;-0,358;-2,486;1,193;-1,949
"via";0,576;-1,765;-4,699;2,642;0,232;-1,494;4,626
"rimanere";-5,551;-2,958;1,235;5,328;-0,01;1,138;-0,2
"proprio";-1,412;0,959;-0,45;-0,127;0,497;0,053;0,066
"portare";0,077;-5,296;-1,531;5,858;0;5,363;-2,745
"ogni";-0,883;1,042;1,759;-0,022;-0,291;-2,449;1,042
"ne";2,453;-0,135;-0,389;-0,797;0;0,381;-0,135
"menu";0,537;-3,176;-0,618;-0,148;0,169;10;-3,176
"medio";0,682;-1,174;-0,498;-0,095;1,235;1,138;-1,174
"soprattutto";-0,041;-0,749;2,071;-2,046;2,071;-0,809;0,212
"pagare";-0,041;-0,749;-1,176;11,15;0,031;0,717;-4,802
"troppo";1,042;-5,046;-3,182;0,272;0,007;9,155;-0,883
"pieno";0,135;-0,082;0,496;-2,229;0,496;0,533;-0,883
"giusto";0,004;0,004;-0,033;-3,805;6,095;-0,373;0,004
"conto";4,887;-2,745;-3,426;3,09;-0,389;3,062;-2,745
"chiedere";0,004;-4,097;-2,266;5,479;3,263;-0,373;0,004
"caldo";0,066;0,959;-0,45;-1,207;0,497;0,053;-0,217
"sushi";-2,03;-0,278;-2,328;25,884;1,078;-2,96;-0,278
"prodotto";-1,585;2,482;1,601;-0,193;0,349;-5,647;0,751
"piacevole";-1,765;-1,765;-0,711;0,038;9,804;0;0,004
"migliore";0,751;0,025;-0,007;-0,193;-0,575;0,013;0,025
"diverso";5,996;-4,802;-0,206;-0,005;0,031;0,717;-0,749
"ampio";0,025;-1,585;0,349;-0,193;-0,007;3,921;-1,585
"sentire";-0,883;-0,883;1,759;-4,686;3,795;-0,174;1,042
"preparare";-0,361;3,553;-0,749;-0,211;2,253;-0,062;-1,494
"pesce";-0,4;-0,4;-2,266;20,129;-0,033;0;-1,765
"assaggiare";0,066;5,877;0;-1,207;0;-5,325;0,959
"trattoria";10,955;-1,844;-0,32;-1,712;-0,32;2,689;-1,844
"rapporto";4,095;-1,949;8,887;-1,694;-4,963;-0,012;-0,001
"cordiale";-0,507;-0,001;-0,857;0,652;-0,857;1,193;0,43
"vedere";0,309;1,511;-1,012;0;-1,012;2,428;-2,14
"torta";-1,482;-1,482;-1,699;-0,015;-0,109;-0,327;24,203
"piacere";0,751;0,751;-4,441;-1,364;1,601;-3,076;5,217
"offrire";-1,585;-1,585;-0,007;-0,193;21,513;-1,28;-0,303
"mercato";-0,51;58,92;-0,004;-2,24;-2,767;-3,518;-2,412
"alto";0,135;-0,082;1,759;-4,686;-1,35;6,012;-0,883
"supplì";1,232;0,059;11,252;-2,061;-2,545;-0,077;-2,219
"scegliere";-0,001;-0,001;0,142;-0,358;0,142;1,193;-1,949
"ragazzo";-0,4;0,576;0,232;-1,526;1,309;0;-0,4
"birra";0,491;0,491;0,219;-2,609;3,904;-1,765;-0,781
"spesso";-1,245;1,204;2,329;4,021;-0,337;-2,529;-1,245
"persona";2,117;-1,765;-0,033;-0,271;3,263;0;-1,765
"giorno";5,217;-1,585;-0,007;-1,364;0,349;-0,259;0,025
"cortese";1,204;0,129;0,679;-3,19;0,015;-0,087;-0,143
"location";1,204;-3,435;-0,337;-0,073;0,015;5,276;-1,245
"gustoso";-1,765;2,117;1,309;-3,805;0,232;0,373;-0,4
"caffè";0,138;-0,278;-0,45;-1,885;1,078;2,056;-0,278
"aperitivo";-1,305;1,035;-1,497;11,154;-0,038;-0,186;-1,305
"meglio";8,103;-1,765;-4,699;0,829;-0,033;0;0,004
"forse";16,611;-0,507;-0,075;0,652;-2,486;-3,653;-0,001
"attento";10,958;-3,435;-0,337;-1,056;0,015;1,002;-1,245
"perdere";0,025;-1,585;-0,575;0,083;1,601;-0,259;0,751
"mettere";-1,949;0,43;-2,486;2,282;1,056;-0,012;-0,001
"lasciare";8,956;-0,303;-2,053;0,083;1,601;-1,28;-1,585
"comunque";0,43;1,795;-2,486;-0,358;1,056;-0,012;-0,507
"cenare";-0,217;-3,651;0,497;1,275;4,328;0,053;-3,651
"ancora";-1,245;0,129;0,679;-0,073;-0,337;1,002;-0,143
"un_posto";0,219;3,904;-0,237;-0,032;-0,237;-0,711;-0,082
"sedere";-0,278;9,392;-2,328;-0,203;0,034;0,416;-2,03
"porzione";-0,037;-0,037;1,17;-0,773;-1,263;1,677;-0,037
"pizzeria";-0,51;-2,412;22,335;-2,24;-0,004;0,112;-2,412
"pasticceria";-1,132;-1,132;-1,298;0,024;-1,298;-0,076;21,936
"già";9,47;-0,008;-0,082;-0,641;-0,082;0,004;-2,81
"abbondante";0,337;-3,014;-0,151;-2,799;1,17;3,893;-0,037
"varietà";-3,014;4,517;0,12;0,502;-1,263;-0,004;-0,037
"prenotare";4,517;-0,929;0,12;0,502;0,12;-0,548;-3,014
"poi";-1,245;1,204;-3,939;-0,073;0,015;0,125;3,367
"fuori";3,904;-0,082;0,901;-0,032;-3,695;0,232;-1,083
"fritto";0,337;1,831;-3,456;-2,799;6,512;-0,004;-0,929
"classico";3,367;-0,143;0,679;-1,056;-1,645;-0,087;0,129
"vi";-0,037;1,831;-0,151;-0,773;3,3;-2,011;-0,037
"riuscire";-0,781;-0,781;-3,222;0;7,453;0,576;-0,008
"quasi";0,219;-1,083;-1,451;-0,032;-1,451;3,263;1,492
"polpetta";4,695;4,695;-2,328;-1,885;-0,45;-0,021;-0,278
"pessimo";-0,781;-0,781;-3,222;0;1,492;8,103;-0,781
"pane";0,259;-0,18;1,468;-1,712;-0,32;2,689;-1,844
"interno";-0,929;4,517;-1,263;-2,799;3,3;0,38;-0,929
"fantastico";-0,641;2,697;0,355;0,014;-0,911;-1,526;0,685
"esperienza";0,129;-1,245;-1,645;-1,056;4,966;1,002;-0,143
"eccezionale";3,904;-3,222;0,901;-0,911;-0,237;0,232;-0,082
"conoscere";1,831;-0,037;-1,263;-0,773;1,17;-0,004;-0,037
"soddisfare";-0,217;0,066;1,939;-1,207;-1,846;2,25;-0,217
"nulla";-1,083;-0,082;0,054;-0,032;5,689;-0,711;-0,082
"grazia";-0,929;0,337;-0,151;-0,773;0,12;-0,548;4,517
"vero";1,204;3,367;-1,645;1,555;-0,337;-2,529;-0,143
"peccato";10,699;-2,609;-0,032;-0,518;-0,032;-1,526;0,685
"patata";-0,929;1,831;-3,456;-2,799;-0,151;16,064;-0,929
"passare";-0,143;0,129;-0,337;7,637;-3,939;-0,087;0,129
"nuovo";-0,641;0,685;-2,992;3,211;1,88;-0,271;-0,641
"entrare";-0,388;-2,219;-2,545;0,12;0,774;0,235;3,908
"delizioso";-1,083;-0,082;0,054;-2,992;0,901;1,309;0,219
"complimento";-1,083;0,219;2,78;-0,911;-0,237;0,232;-0,082
"cioccolato";-0,51;-0,51;-2,767;-2,24;-0,004;-1,297;35,975
"super";-0,781;0,491;3,904;-0,641;-1,083;-0,4;0,491
"stesso";-3,222;3,904;-0,237;-0,911;2,78;0,232;-1,083
"squisito";0,685;0;-2,992;-0,518;-2,992;2,642;2,697
"sabato";-0,008;-0,781;-1,083;6,035;0,219;-0,4;-0,008
"ritornare";0,016;0,929;0,537;-2,24;0,537;0,112;-2,412
"però";-1,083;0,219;-1,451;0,355;0,901;0,232;-0,082
"oggi";0,059;0,059;-0,594;-0,297;0,003;0,235;0,059
"leggero";-2,81;0,491;7,453;-2,609;1,492;-0,4;-0,781
"freddo";0,491;-2,81;-1,083;0;12,139;0,004;-2,81
"discreto";9,47;-2,81;-1,083;0,685;-3,222;2,117;-0,781
"curare";-0,781;-2,81;-3,222;0,685;7,453;2,117;-0,781
"condire";3,904;-1,083;5,689;-2,992;-1,451;1,309;-3,222
"attesa";2,081;-0,18;0,104;-0,122;1,468;-2,689;-0,18
"amatriciana";12,849;-0,099;-1,905;-1,543;-0,205;1,023;-1,661
"abbastanza";0,685;-2,609;0,355;0,014;-2,992;2,642;0
"vicino";0,016;0,016;-0,004;-2,24;9,789;-0,162;-2,412
"valere";0;10,699;0,355;-2,423;-2,992;-1,526;0,685
"tagliare";-0,008;-2,81;-3,222;-0,641;-0,082;31,694;-2,81
"subito";-2,609;6,035;-0,032;-0,518;1,88;-0,271;-0,641
"semplice";5,222;0,491;-0,082;-2,609;0,219;-0,4;-0,781
"quartiere";0,138;-2,03;3,584;-0,203;-2,328;2,056;-0,278
"quanto";3,367;-1,245;-0,337;0,239;-0,337;0,125;-0,143
"quantità";-0,082;-1,083;-1,451;-0,032;9,629;1,309;-3,222
"pollo";-2,412;3,25;-0,748;-0,402;9,789;-0,162;-2,412
"formaggio";0,686;-0,038;-0,109;-1,376;-0,109;4,508;-1,482
"carta";-0,18;-0,18;-2,115;2,466;0,104;2,689;-1,844
"vista";1,492;3,904;-1,451;-0,032;0,054;-0,711;-1,083
"particolare";1,492;-1,083;-1,451;-0,911;2,78;1,309;-1,083
"niente";0,016;-0,51;-0,004;-2,24;2,345;1,149;-0,51
"lungo";8,26;-0,038;-0,109;-0,015;-1,699;-0,327;-0,038
"gentilezza";0,016;-0,51;0,537;-2,24;0,537;0,112;0,016
"forno";-0,18;-0,18;0,104;-1,712;-2,115;10,756;-0,18
"decidere";0,259;0,259;-0,32;-0,122;-0,32;0,672;-0,18
"cucinare";0,491;0,491;1,492;0;-0,082;-0,4;-2,81
"bar";-1,132;0,007;-1,298;6,348;-0,002;-0,076;0,007
"acqua";0,491;-2,81;-3,222;0;3,904;0,576;-0,008
"verdura";1,035;1,035;-1,497;0;0,693;-0,186;-1,305
"salato";-1,844;-0,18;-2,115;-1,712;1,468;2,689;2,081
"ragazza|ragazzo";-2,412;-0,51;-2,767;0,052;2,345;1,149;0,929
"punto";0;6,035;-0,911;0,014;-0,032;-1,526;0
"problema";-0,278;-0,278;-0,45;1,948;1,078;-0,021;-0,278
"parlare";-0,278;-0,278;7,55;-0,203;-2,328;0,416;-0,278
"oltre";0,059;3,908;-0,594;-0,297;0,003;-0,077;-0,388
"noto";-1,482;-1,482;-1,699;-0,015;2,616;1,5;0,686
"non_sono";0,491;-2,81;-1,083;-0,641;0,219;2,117;0,491
"nessuno";0,138;-0,278;-0,45;0,224;3,584;-0,021;-2,03
"idea";-0,781;-0,781;-1,083;-2,609;1,492;2,117;2,229
"famiglia";0,016;0,929;-2,767;-0,402;-0,004;1,149;0,016
"capitare";0,138;1,61;-2,328;0,224;-2,328;-0,021;1,61
"bottiglia";3,427;-0,038;-1,699;0,864;-0,109;0,107;-1,482
"ultimo";-0,008;-0,781;0,219;-0,641;-0,082;2,117;-0,008
"taglio";-0,004;-1,305;35,679;-1,212;-1,497;-1,904;-1,305
"stile";-2,609;-0,641;-0,911;-2,423;19,998;2,642;-2,609
"scoprire";-0,278;0,138;-0,45;-1,885;1,078;-0,869;4,695
"riso";-1,661;2,674;-1,905;7,648;1,969;-2,422;-1,661
"presente";-0,099;-1,661;-1,905;3,11;0,226;1,023;-0,099
"possibilità";-0,388;1,232;6,398;-2,061;-0,594;-0,077;-0,388
"pezzo";0,259;-1,844;-0,32;0,373;0,104;2,689;-1,844
"pena";-0,278;9,392;1,078;-1,885;-2,328;-0,869;0,138
"materia";-2,03;9,392;-0,45;-1,885;-0,45;0,416;0,138
"gustare";0;6,035;-0,911;-0,518;-0,911;-0,271;0,685
"focaccia";-1,482;-1,482;2,616;-1,376;-1,699;15,365;-1,482
"credere";-0,641;0;-0,032;0,014;0,355;0,829;-0,641
"consigliatissimo";0,016;0,016;-0,004;-0,402;0,537;1,149;-2,412
"bravo";-1,305;4,4;0,693;-1,212;-0,038;-0,186;-0,004
"accoglienza";-1,844;-0,18;0,104;-1,712;1,468;6,05;-1,844
"vivamente";-1,844;0,259;4,412;-1,712;-2,115;0;2,081
"tradizionale";4,695;-0,278;0,034;-0,203;0,034;-0,869;-0,278
"staff";-1,844;2,081;-0,32;-0,122;0,104;2,689;-1,844
"spendere";1,232;-0,388;0,774;0,12;0,774;-1,077;-2,219
"sala";-0,038;-1,482;-1,699;3,925;2,616;0,107;-1,482
"rendere";-0,388;-2,219;-0,594;-2,061;2,905;1,551;1,232
"quindi";0,259;-1,844;-2,115;-0,122;1,468;0,672;0,259
"purtroppo";-0,099;-0,099;-1,905;0,58;-0,205;3,488;-0,099
"prenotazione";2,081;-1,844;-2,115;0,373;8,935;-0,672;-1,844
"preferire";15,702;0,138;-0,45;-1,885;1,078;-2,96;-2,03
"pietanza";0,059;-0,388;0,003;1,53;-0,594;1,551;-2,219
"pensare";2,081;-0,18;-0,32;2,466;1,468;-2,689;-1,844
"ostiense";-0,038;-1,482;-0,109;-0,015;2,616;-0,327;0,686
"onesto";-0,18;2,081;1,468;-0,122;-2,115;0;-0,18
"neanche";-1,844;-0,18;-2,115;-0,122;22,719;0;-1,844
"fermare";0,138;0,138;-2,328;0,224;1,078;-0,021;-0,278
"croccante";0,059;0,059;2,905;-0,297;-2,545;1,551;-2,219
"collega";-0,18;-0,18;0,104;-0,122;0,104;0,672;-0,18
"cocktail";-0,278;-0,278;-2,328;1,948;19,867;-2,96;-2,03
"accompagnare";-0,099;-0,099;-0,205;-1,543;5,434;1,023;-1,661
"vecchio";8,085;-0,388;-0,594;0,12;-2,545;-0,077;0,059
"simpatia";-0,18;0,259;1,468;-1,712;-0,32;0,672;-0,18
"ricco";0,436;-0,099;-0,205;0,58;-0,205;1,023;-1,661
"resto";-2,219;1,232;-0,594;-0,297;0,003;4,027;-0,388
"pulire";-0,099;-1,661;1,969;-0,058;0,226;0,024;-0,099
"proposta";0,686;-1,482;-0,109;-1,376;0,414;1,5;-0,038
"positivo";-0,099;-1,661;-1,905;-0,058;-0,205;3,488;2,674
"pomodoro";1,61;1,61;3,584;-1,885;0,034;-2,96;-2,03
"originale";-0,18;-1,844;-0,32;-1,712;-0,32;10,756;0,259
"minuto";-0,099;-0,099;0,226;-0,058;-0,205;1,023;-0,099
"invece";3,908;-0,388;-2,545;-0,297;2,905;-0,077;-0,388
"insomma";10,699;-2,609;-2,992;-0,518;8,535;-1,526;-0,641
"giro";0,259;0,259;-0,32;-1,712;0,104;0;0,259
"giovane";0,436;-0,099;1,969;-0,058;0,226;-0,491;-1,661
"giapponese";-1,132;-1,132;-1,298;13,698;4,594;-1,651;-1,132
"gelateria";-1,132;-1,132;-1,298;-1,051;-1,298;-1,651;48,758
"dire_che";-0,278;-0,278;0,034;5,377;0,034;-0,021;-2,03
"decisamente";-0,278;0,138;-0,45;1,948;-0,45;-0,021;0,138
"costo";-0,099;-1,661;-1,905;3,11;0,226;1,023;-0,099
"capire";3,25;0,016;-0,748;-0,402;-0,748;-0,162;0,929
"banco";-1,661;30,624;-0,205;-1,543;0,226;-2,422;-1,661
"accogliere";-0,099;-0,099;0,226;-0,058;-0,205;-0,491;2,674
"zucca";-0,795;0,209;8,386;-0,738;-0,911;0,012;-0,795
"vario|varo";-0,038;3,427;-1,699;-0,015;-0,109;1,5;-1,482
"uscire";0,686;-0,038;-0,109;0,864;-0,109;0,107;-1,482
"saporire";0,436;0,436;1,969;-1,543;-0,205;-2,422;0,436
"rosso";0,209;0,209;-0,911;-0,738;0,108;1,669;-0,795
"pronto";-1,305;4,4;-0,038;0;-1,497;-0,186;1,035
"presentare";8,26;-1,482;-1,699;-1,376;-1,699;4,508;-0,038
"perfetto";-0,18;-0,18;4,412;2,466;-0,32;-0,672;-1,844
"insalata";0,007;1,525;-1,298;0,024;-0,002;0,539;-1,132
"food";0,5;13,759;-0,723;-0,585;-0,723;-0,919;-0,63
"familiare";-1,305;-1,305;24,454;-1,212;-1,497;-1,904;1,035
"cura";-1,661;2,674;-0,205;3,11;-0,205;-0,491;-0,099
"cuore";0,686;0,686;-0,109;-1,376;0,414;0,107;-1,482
"colazione";-0,795;0,209;2,6;-0,738;-0,911;-1,159;3,259
"coda";7,441;0,065;0,016;-0,893;-1,103;-0,01;-0,962
"base";-0,388;-0,388;6,398;1,53;-2,545;-0,077;-0,388
"x";-1,482;-1,482;-0,109;-0,015;-0,109;9,13;-0,038
"tranquillo";2,674;-1,661;0,226;-1,543;0,226;0,024;-0,099
"tiramisù";9,392;-2,03;0,034;-1,885;-0,45;0,416;-0,278
"sugo";13,759;-0,63;-0,723;-0,585;-0,723;0,129;-0,63
"strepitoso";-0,099;0,436;-1,905;-1,543;1,969;1,023;-0,099
"spazio";2,081;-0,18;-0,32;-0,122;1,468;0;-1,844
"sorpresa";-0,278;0,138;0,034;0,224;-0,45;-2,96;4,695
"secco";1,035;-0,004;-0,038;1,253;-1,497;-0,186;-0,004
"scarso";1,035;-0,004;-0,038;1,253;-0,038;-1,904;-0,004
"salso";-0,18;0,259;-2,115;0,373;4,412;0;-1,844
"recensioni";-0,099;-0,099;-0,205;-1,543;0,226;3,488;-0,099
"pausa";-0,038;-0,038;6,713;-1,376;-0,109;-0,327;-0,038
"ormai";-0,278;1,61;-0,45;0,224;-2,328;-0,021;1,61
"ordine";-0,18;-0,18;-2,115;-1,712;8,935;0;0,259
"occasione";-0,18;-1,844;0,104;0,373;4,412;-2,689;0,259
"mozzarella";-0,038;0,686;6,713;-1,376;-1,699;0,107;-1,482
"misto";-1,482;-0,038;-1,699;-1,376;2,616;9,13;-1,482
"luogo";2,081;-0,18;1,468;-1,712;0,104;0;-1,844
"livello";-0,278;-0,278;-2,328;1,948;3,584;0,416;-2,03
"impeccabile";0,138;-0,278;1,078;0,224;-2,328;2,056;-2,03
"impasto";-1,661;-0,099;26,158;-1,543;-1,905;-0,491;-0,099
"gradevole";0,059;-0,388;-0,594;0,12;0,003;0,235;0,059
"gestore";1,035;4,4;0,693;-1,212;-0,038;-1,904;-1,305
"gentilissimo";-0,038;3,427;-1,699;-1,376;-0,109;1,5;-0,038
"frequentare";-0,278;4,695;3,584;0,224;-0,45;-2,96;-2,03
"fatto";1,035;-0,004;-0,038;-1,212;-1,497;2,149;-0,004
"domenica";-0,038;-1,482;-0,109;-1,376;6,713;1,5;-1,482
"deludere";-1,844;-1,844;0,104;12,176;-0,32;0;-0,18
"contorno";1,525;-1,132;1,1;-1,051;-0,002;0,539;-1,132
"cicoria";4,4;-0,004;-0,038;-1,212;-1,497;2,149;-1,305
"bruschetta";0,007;-1,132;-0,002;-1,051;-0,002;7,581;-1,132
"benissimo";0,436;-0,099;-0,205;0,58;-0,205;0,024;-0,099
"basso";0,007;-1,132;-1,298;0,024;-1,298;7,581;0,007
"baccalà";-0,63;4,876;0,335;-0,585;-0,723;0,129;-0,63
"appena";0,259;0,259;-2,115;-1,712;-0,32;2,689;0,259
"volentieri";-1,661;0,436;0,226;0,58;-0,205;-0,491;0,436
"vivo";2,674;-1,661;-0,205;0,58;0,226;-0,491;-0,099
"tre";2,225;2,225;-1,103;0,106;0,016;-1,403;-0,962
"rapido";0,007;-1,132;-1,298;0,024;-0,002;7,581;-1,132
"proporre";0,436;-0,099;-1,905;3,11;-0,205;1,023;-1,661
"posto";-0,962;2,225;-1,103;-0,893;-1,103;9,976;-0,962
"pecorino";0,065;2,225;-1,103;-0,893;-1,103;4,296;-0,962
"pecca";3,427;8,26;-1,699;-0,015;-1,699;-2,161;-0,038
"pasto";-1,305;1,035;3,463;0;-1,497;0,268;-1,305
"passato";-0,099;6,812;0,226;-1,543;-0,205;-0,491;-0,099
"olio";-1,482;0,686;-1,699;-0,015;0,414;4,508;-1,482
"lì";-1,661;2,674;-0,205;3,11;-0,205;-0,491;-0,099
"fiore";-0,962;0,065;6,15;-0,893;-1,103;-0,01;0,065
"evitare";0,138;-2,03;-2,328;0,224;1,078;0,416;0,138
"economico";-0,962;0,065;0,016;0,106;0,016;-0,01;0,065
"crudo";-1,305;-0,004;-0,038;0;-1,497;0,268;4,4
"condimento";-0,038;0,686;6,713;-1,376;0,414;-2,161;-1,482
"buffet";0,007;-1,132;-1,298;13,698;-0,002;-0,076;-1,132
"bibita";-1,305;4,4;-0,038;0;3,463;-1,904;-1,305
"bevanda";-0,038;-0,038;-0,109;0,864;6,713;-2,161;-1,482
"bancone";-1,132;5,686;-1,298;-1,051;1,1;-0,076;0,007
"attenzione";-1,661;-0,099;-0,205;0,58;1,969;-0,491;0,436
"aprire";-0,099;2,674;-0,205;3,11;-0,205;-2,422;-0,099
"trattare";1,525;-1,132;-0,002;6,348;-0,002;-1,651;-1,132
"tagliere";-0,962;-0,962;0,016;0,106;-1,103;9,976;-0,962
