"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 4";"17";"23.53";" 2.37";"forno";"1.239537e-01"
" 8";"44";"18.18";" 2.29";"ristorante";"1.299602e-01"
" 5";"24";"20.83";" 2.08";"proprio";"1.494459e-01"
" 3";"12";"25.00";" 2.04";"tradizionale";"1.535981e-01"
" 3";"12";"25.00";" 2.04";"prenotazione";"1.535981e-01"
" 3";"12";"25.00";" 2.04";"economico";"1.535981e-01"
"*****";"*";"*";"*";"*";"*"
"10";"42";"23.81";"8.03";"un_po";"0.004589494"
" 4";"11";"36.36";"6.59";"e_poi";"0.010256237"
" 4";"14";"28.57";"3.96";"di_una";"0.046684974"
" 2";" 6";"33.33";"2.63";"son";"0.104723202"
"*";"*";"*";"*";"*";"*"
"3";"4";"75";"15.23";"*RATING_2.6";"0.000095179"
"1";"2";"50";" 2.71";"*RATING_2.8";"0.099498256"
"**";"classe";"6";"**";"";""
"****";"20";"123";"16.26";"****";""
"10";"17";" 58.82";"26.25";"pizzeria";"3.005768e-07"
"10";"18";" 55.56";"23.91";"supplì";"1.008450e-06"
" 7";"10";" 70.00";"23.09";"taglio";"1.548560e-06"
"16";"43";" 37.21";"21.31";"pizza";"3.909330e-06"
" 7";"12";" 58.33";"17.29";"mozzarella";"3.213966e-05"
" 5";" 7";" 71.43";"16.59";"margherita";"4.637380e-05"
" 3";" 3";"100.00";"15.84";"digeribile";"6.906657e-05"
" 4";" 5";" 80.00";"15.55";"filetto";"8.030963e-05"
" 5";" 8";" 62.50";"13.44";"cordialità";"2.468297e-04"
" 6";"13";" 46.15";" 9.54";"super";"2.010194e-03"
" 4";" 7";" 57.14";" 9.11";"piazza";"2.540736e-03"
" 5";"10";" 50.00";" 9.10";"fiore";"2.555678e-03"
" 9";"26";" 34.62";" 8.16";"cacio";"4.287815e-03"
" 7";"18";" 38.89";" 7.93";"leggero";"4.863242e-03"
" 3";" 5";" 60.00";" 7.32";"dimensione";"6.807678e-03"
" 3";" 5";" 60.00";" 7.32";"negozio";"6.807678e-03"
" 4";" 8";" 50.00";" 7.15";"gestore";"7.481258e-03"
" 4";" 8";" 50.00";" 7.15";"ripieno";"7.481258e-03"
" 9";"28";" 32.14";" 6.72";"pepe";"9.553494e-03"
" 5";"12";" 41.67";" 6.30";"croccante";"1.204856e-02"
" 5";"12";" 41.67";" 6.30";"zucca";"1.204856e-02"
" 2";" 3";" 66.67";" 5.74";"grana";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"verace";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"semplicità";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"notturno";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"lievitazione";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"fermata|fermato";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"chiuso";"1.660159e-02"
" 2";" 3";" 66.67";" 5.74";"apertura";"1.660159e-02"
" 3";" 6";" 50.00";" 5.27";"ideale";"2.165236e-02"
" 3";" 6";" 50.00";" 5.27";"prosciutto";"2.165236e-02"
"13";"53";" 24.53";" 4.68";"romano";"3.059322e-02"
" 4";"10";" 40.00";" 4.51";"pausa";"3.378967e-02"
" 3";" 7";" 42.86";" 3.86";"bambino";"4.956422e-02"
" 3";" 7";" 42.86";" 3.86";"osteria";"4.956422e-02"
" 3";" 7";" 42.86";" 3.86";"spuntino";"4.956422e-02"
" 5";"15";" 33.33";" 3.66";"pomodoro";"5.582871e-02"
" 4";"11";" 36.36";" 3.59";"familiare";"5.828145e-02"
" 4";"11";" 36.36";" 3.59";"impasto";"5.828145e-02"
" 4";"11";" 36.36";" 3.59";"condimento";"5.828145e-02"
" 2";" 4";" 50.00";" 3.46";"oliva";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"parmigiano";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"marito";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"realtà";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"lavoratore";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"sgabello";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"meraviglioso";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"lontano";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"estremamente";"6.300034e-02"
" 2";" 4";" 50.00";" 3.46";"enorme";"6.300034e-02"
" 8";"30";" 26.67";" 3.16";"ingrediente";"7.566209e-02"
" 5";"16";" 31.25";" 3.04";"mercato";"8.147972e-02"
" 9";"36";" 25.00";" 2.86";"pranzo";"9.107834e-02"
" 4";"12";" 33.33";" 2.85";"tradizionale";"9.156430e-02"
" 3";" 8";" 37.50";" 2.83";"artigianale";"9.223471e-02"
