"";"X.RATING_3";"X.RATING_4"
"compleanno";-0,3605;0,3605
"garanzia";-0,3146;0,3146
"passo";-0,7205;0,7205
"staff";0,6597;-0,6597
"offerta";0,7248;-0,7248
"antico";0,3065;-0,3065
"ragazza|ragazzo";0,3771;-0,3771
"patata";-0,6173;0,6173
"scontrino";1,0221;-1,0221
"grazia";-1,4881;1,4881
"pranzo";-0,3089;0,3089
"altezza";-0,2328;0,2328
"drink";0,3192;-0,3192
"gustoso";-2,7441;2,7441
"antipasto";-0,2956;0,2956
"momento";0,736;-0,736
"abbondante";0,5102;-0,5102
"ingrediente";-0,5109;0,5109
"fata";-1,0883;1,0883
"turistico";-1,3425;1,3425
"titolare";-2,0709;2,0709
"spazioso";1,6601;-1,6601
"piattino";-4,8033;4,8033
"anticipo";-1,7908;1,7908
"fettuccina";-0,9717;0,9717
"famiglia";0,4575;-0,4575
"sicuramente";0,3353;-0,3353
"croccante";-0,298;0,298
"pasta";3,7231;-3,7231
"dubbio";1,0221;-1,0221
"strepitoso";-3,8663;3,8663
"gruppo";0,2487;-0,2487
"varietà";0,4575;-0,4575
"ricordo";-1,4221;1,4221
"ultimo";0,485;-0,485
"gelato";13,7323;-13,7323
"misto";-0,9717;0,9717
"formaggio";-0,2121;0,2121
"eccezionale";0,2602;-0,2602
"parola";-0,2513;0,2513
