"";"";"";"";"commensale";""
"177";"pranzo";"-0.343052426048912";"-0.542635174525383";"0.931405625995679";"437"
"178";"tradizionale";"0.0332199299042963";"-2.00161912824138";"0.931021539401611";"438"
"179";"prossimo";"-1.15838450954276";"-0.286055931638581";"0.930445409510508";"439"
"180";"proprietario";"-1.02084128779305";"-0.202404364111262";"0.929677236322371";"440"
"181";"prezzo";"-0.295239891118";"0.0813362767010422";"0.927612770879253";"441"
"182";"mesa|mese";"0.57917401459913";"0.017897622830317";"0.923195775047465";"444"
"183";"linea";"0.57917401459913";"0.017897622830317";"0.923195775047465";"445"
"184";"birra";"-0.0410932590222777";"0.634205103889988";"0.92137136372564";"446"
"185";"hamburger";"0.501335232280176";"0.43717472739831";"0.92069921218602";"447"
"186";"inizio";"-0.505506298059168";"0.23575458283556";"0.92069921218602";"448"
"187";"alice";"0.598677344992435";"-0.927954077062001";"0.92069921218602";"450"
"188";"arredo";"1.72042838251606";"0.864995829652442";"0.92069921218602";"451"
"189";"rosso";"-0.730350540686097";"-0.391078762744903";"0.917482486960697";"452"
"190";"consegna";"-1.64447990428001";"0.5840137500586";"0.915418021517579";"453"
"191";"semplice";"-0.0241025798448207";"-1.18107819381527";"0.914649848329442";"455"
"192";"possibilità";"-0.146637353231906";"-0.649029255146759";"0.914649848329442";"456"
"193";"genuino";"-1.39333415050221";"0.606101744681782";"0.909176614363966";"458"
"194";"passaggio";"-1.26714120242613";"-0.0932694450887354";"0.909176614363966";"459"
"195";"casa";"-0.382308624077776";"-0.315349582392236";"0.90269515308906";"460"
"196";"ottimo";"-0.334768320981273";"-0.0405637831037776";"0.900630687645942";"461"
"197";"gastronomia";"-1.64382997598021";"-0.178268641675565";"0.897894070663204";"462"
"198";"bufalo";"-0.313357377582442";"-1.79283204593279";"0.897894070663204";"464"
"199";"perfetto";"-0.219491687645703";"-0.746114445576472";"0.894149226371036";"466"
"200";"titolare";"-0.497183877630755";"-0.0615203041419989";"0.894149226371036";"467"
"201";"grazia";"-0.879836942083608";"-0.547038036280626";"0.892948955764572";"468"
"202";"complimento";"-0.152871038443494";"-0.30374396581785";"0.892948955764572";"469"
"203";"economico";"-1.17154260688437";"-0.0779110457128976";"0.892084760927918";"470"
"204";"spettacolare";"-1.67723513319398";"-0.0877406961692106";"0.891124544442747";"471"
"205";"gestione";"-1.01347058550871";"0.316805354204309";"0.891124544442747";"472"
"206";"aperto";"-1.64881080052536";"-0.810865037938705";"0.891124544442747";"474"
"207";"profumo";"-1.10872912582186";"0.522722920915736";"0.887235667677804";"475"
"208";"perfettamente";"-1.70066715410149";"-0.303459629574799";"0.887235667677804";"476"
"209";"pezzo";"-0.0206140510412472";"-0.0458650518072519";"0.871536128145255";"477"
"210";"salato";"-0.670580785232493";"0.745463966329911";"0.869279619405102";"478"
"211";"gentilezza";"0.485196304780029";"0.510712959748204";"0.865150688518866";"479"
"212";"materia";"-0.285086815601938";"0.145618000553739";"0.865150688518866";"480"
"213";"siciliano";"-0.557093577856584";"-1.59176509919634";"0.855932610261223";"481"
"214";"scontrino";"-0.397070352924507";"0.617025581328466";"0.855932610261223";"482"
