"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"55";55;0;0;0;0;0;0;0;0;0
"56";56;0;0;0;0;0;0;0;0;0
"57";57;0;0;0;0;0;0;3;3;3
"58";58;0;0;0;0;0;0;0;0;1
"59";59;0;0;0;6;6;6;6;6;6
"60";60;0;0;0;0;0;5;5;5;5
"61";61;0;0;0;6;6;6;6;6;6
"62";62;0;0;0;0;0;0;0;0;1
"63";63;0;0;0;0;0;0;3;3;3
"64";64;0;0;0;0;0;0;0;0;0
"65";65;0;0;0;0;0;0;0;0;1
"66";66;0;0;0;0;0;0;0;2;2
"67";67;0;0;0;0;0;0;0;0;1
"68";68;0;0;0;0;0;0;0;0;1
"69";69;0;0;0;0;0;0;0;0;0
"70";70;0;0;0;0;0;0;4;4;4
"71";71;0;0;7;7;7;7;7;7;7
"72";72;0;0;0;0;0;5;5;5;5
"73";73;0;0;0;0;0;0;4;4;4
"74";74;0;0;7;7;7;7;7;7;7
"75";75;0;0;0;0;0;0;0;0;1
"76";76;0;0;0;0;0;0;0;2;2
"77";77;0;0;0;0;0;5;5;5;5
"78";78;0;0;7;7;7;7;7;7;7
"79";79;0;0;0;0;0;0;0;0;0
"80";80;0;0;0;0;0;5;5;5;5
"81";81;0;0;0;6;6;6;6;6;6
"82";82;0;0;0;0;0;0;4;4;4
"83";83;0;0;0;0;0;5;5;5;5
"84";84;0;0;0;0;0;0;0;0;1
"85";85;0;0;0;0;0;0;0;0;0
"86";86;0;0;0;0;0;0;4;4;4
"87";87;0;0;0;0;0;5;5;5;5
"88";88;0;0;0;0;0;5;5;5;5
"89";89;0;0;0;6;6;6;6;6;6
"90";90;0;0;0;0;0;0;0;0;0
"91";91;0;0;0;0;0;0;3;3;3
"92";92;0;0;0;0;0;0;0;2;2
"93";93;0;0;0;0;0;0;0;0;1
"94";94;0;0;0;0;0;5;5;5;5
"95";95;0;0;0;0;0;0;3;3;3
"96";96;0;0;0;0;0;0;3;3;3
"97";97;0;0;0;0;0;0;4;4;4
"98";98;0;0;0;0;0;0;0;0;1
"99";99;0;0;0;0;0;0;3;3;3
"100";100;0;0;0;0;0;5;5;5;5
"101";101;0;0;7;7;7;7;7;7;7
"102";102;0;0;0;0;0;0;3;3;3
"103";103;0;0;0;0;0;0;0;2;2
"104";104;0;0;0;6;6;6;6;6;6
"105";105;0;0;0;0;0;5;5;5;5
"106";106;0;0;0;0;0;0;4;4;4
"107";107;0;0;0;0;0;5;5;5;5
"108";108;0;0;0;0;0;0;0;0;0
"109";109;0;0;0;0;0;0;4;4;4
"110";110;0;0;0;0;0;0;0;0;0
"111";111;0;0;0;6;6;6;6;6;6
"112";112;0;0;0;6;6;6;6;6;6
"113";113;0;0;0;0;0;0;0;0;1
"114";114;0;0;7;7;7;7;7;7;7
"115";115;0;0;7;7;7;7;7;7;7
"116";116;0;0;7;7;7;7;7;7;7
"117";117;0;0;0;0;0;0;0;2;2
"118";118;0;0;7;7;7;7;7;7;7
"119";119;0;0;0;0;0;0;0;0;0
"120";120;0;0;0;0;0;0;0;0;0
"121";121;0;0;0;0;0;0;0;2;2
"122";122;0;0;0;6;6;6;6;6;6
"123";123;0;0;0;0;0;0;4;4;4
"124";124;0;0;7;7;7;7;7;7;7
"125";125;0;0;0;0;0;0;0;0;0
"126";126;0;0;7;7;7;7;7;7;7
"127";127;0;0;0;0;0;0;4;4;4
"128";128;0;0;0;6;6;6;6;6;6
"129";129;0;0;0;0;0;0;0;0;0
"130";130;0;0;0;0;0;0;0;2;2
"131";131;0;0;0;0;0;0;3;3;3
"132";132;0;0;0;0;0;0;0;2;2
"133";133;0;0;0;6;6;6;6;6;6
"134";134;0;0;0;6;6;6;6;6;6
"135";135;0;0;0;6;6;6;6;6;6
"136";136;0;0;7;7;7;7;7;7;7
"137";137;0;0;0;0;0;0;0;2;2
"138";138;0;0;0;0;0;0;0;0;1
"139";139;0;0;0;0;0;0;0;0;0
"140";140;0;0;0;0;0;0;4;4;4
"141";141;0;0;0;0;0;0;0;0;0
"142";142;0;0;0;0;0;0;0;0;0
"143";143;0;0;0;0;0;0;0;0;0
"144";144;0;0;0;0;0;0;3;3;3
"145";145;0;0;7;7;7;7;7;7;7
"146";146;0;0;0;0;0;0;0;2;2
"147";147;0;0;0;0;0;0;0;0;1
"148";148;0;0;0;0;0;0;3;3;3
"149";149;0;0;0;6;6;6;6;6;6
"150";150;0;0;0;0;0;0;0;0;1
"151";151;0;0;0;0;0;0;4;4;4
"152";152;0;0;0;0;0;0;0;0;1
