amichevole;1;0;1;0;4;2;1
aggiungere;2;0;0;2;3;0;1
visita;1;1;0;1;1;2;2
tenere;3;0;1;0;1;0;3
spritz;2;0;0;0;1;4;0
scadente;2;1;2;0;2;0;0
salume;0;1;1;4;3;0;0
richiesta;1;0;2;1;0;1;1
possibile;1;0;4;1;0;1;0
pistacchio;1;0;0;1;1;0;4
passaggio;0;1;1;1;0;0;3
palato;0;0;0;3;2;1;1
osteria;0;2;2;3;0;0;0
organizzare;3;0;0;1;0;0;1
offerta;1;0;5;2;0;0;0
norma;0;1;0;2;2;1;3
migliorare;0;1;1;1;2;0;1
meritare;0;0;5;0;1;1;1
interessante;1;0;1;2;2;0;1
giudia;0;0;0;7;0;0;0
facile;1;0;1;0;3;0;3
drink;2;0;0;0;0;1;0
difficile;2;0;3;1;0;2;0
cordialità;0;2;0;1;1;3;0
considerare;2;0;4;0;0;0;1
certo;0;2;1;0;2;2;1
cercare;0;1;0;1;1;3;1
biscotto;1;0;0;0;2;1;3
amare;1;0;0;2;2;2;1
amante;1;0;0;2;4;1;0
visitare;2;0;0;2;1;1;1
vegetariano;0;1;1;1;2;3;0
vasto;1;1;0;2;2;0;1
top;1;1;1;1;1;0;0
teatro;1;2;0;1;1;0;0
tartufo;0;1;0;0;2;1;1
signore;0;0;0;1;0;2;2
sicuro;2;2;0;1;0;1;1
scoperta;1;1;0;3;1;1;0
ripieno;0;2;0;0;0;2;3
ricordare;1;1;2;0;3;1;0
qualita;0;0;2;0;1;0;4
piadina;0;0;0;0;1;1;1
patatina;3;1;0;0;1;2;1
passo;0;0;2;3;0;2;1
non_solo;0;2;1;0;2;1;3
modico;1;4;0;0;0;0;2
moderno;2;0;3;1;0;2;0
massimo;3;0;1;2;1;1;0
mancare;2;1;1;2;1;1;0
leggermente;0;0;0;3;4;0;0
guanciale;0;0;2;3;0;0;1
frutta;2;0;0;1;0;1;1
finire;2;1;1;2;1;0;0
festa;3;0;0;1;1;0;1
famoso;1;0;1;2;1;0;1
esterno;1;0;1;1;1;1;1
dimenticare;1;1;1;4;0;0;0
coppia;1;0;2;1;2;0;0
consegna;1;1;0;0;0;1;3
calice;1;0;4;2;3;0;0
bianco;1;2;0;0;2;0;3
avviso;1;0;2;0;1;0;0
assaggio;1;1;2;2;1;0;0
artigianale;0;1;0;0;0;0;4
amaro;1;1;2;3;1;0;0
vuoto;3;1;0;0;1;0;2
vaccinara;0;1;5;1;0;0;0
turista;0;0;1;3;0;0;0
tonnarelli;0;1;0;6;0;0;0
titolare;0;2;0;1;1;0;1
specie;2;0;2;1;1;1;1
spaghetto;1;0;2;3;1;0;0
sorridente;0;2;0;0;2;1;2
sfizioso;4;0;0;2;1;0;0
settimana;0;0;2;0;1;4;0
ripetere;1;0;2;1;2;0;1
rigatone;0;2;1;4;0;0;0
ricotta;0;0;0;4;1;1;1
recare;1;4;1;0;0;0;1
raffinato;0;0;0;1;6;0;0
prossimo;1;2;0;1;1;3;1
preparazione;4;0;0;1;1;2;1
permettere;0;0;2;1;3;1;0
particolarmente;3;0;0;2;0;1;1
notare;3;0;0;0;1;1;0
melanzana;0;2;0;0;3;1;1
locale_che;0;1;0;1;3;0;1
lista;2;0;0;4;2;0;0
italiano;5;0;0;0;0;0;1
intimo;0;0;0;3;5;0;0
inizio;1;0;1;0;1;0;1
fortuna;4;0;0;0;1;0;1
forte;0;0;0;1;3;3;0
figlio;2;1;0;2;0;1;2
creare;2;1;0;1;1;0;2
cottura;1;0;2;1;3;0;0
cortesia;1;1;0;1;4;1;0
cornetto;1;0;0;0;0;2;3
compleanno;0;0;2;1;1;0;2
compagnia;2;2;2;0;2;0;0
chiudere;2;0;1;1;0;1;2
cambiare;1;0;3;0;1;0;0
bastare;2;1;2;0;0;1;1
bagno;5;0;1;1;0;0;1
affollare;1;0;1;2;0;0;0
vita;0;0;0;2;0;3;2
superlativo;1;1;1;0;2;1;0
superiore;0;0;1;1;0;1;1
strada;2;0;1;0;1;1;0
stella;2;0;2;1;0;0;0
spiegare;4;0;0;0;1;0;0
sottile;0;2;2;0;1;1;0
solito;0;0;0;2;0;0;5
soddisfacente;1;0;3;2;1;0;0
scrivere;2;0;2;1;1;0;1
sbagliare;3;1;0;0;0;1;0
salsiccia;0;2;0;0;1;1;0
salmone;4;0;0;1;0;1;0
risultare;0;0;2;1;2;0;0
rilassare;1;0;0;0;2;3;0
ricerca;2;0;1;1;0;0;1
raggiungere;2;1;2;0;1;1;0
profumo;0;0;0;1;2;3;0
polpo;2;0;0;1;1;0;0
personalmente;0;0;1;1;0;0;2
optare;0;1;1;0;2;0;1
moglie;0;1;0;1;1;1;2
manco;1;1;0;2;0;0;1
live;2;0;0;0;1;0;0
invitante;1;1;0;0;1;1;2
insieme;1;0;1;2;2;0;1
fila|filo;0;0;1;0;0;1;2
elegante;1;0;1;0;4;0;0
efficiente;1;1;2;1;0;3;0
domicilio;1;1;0;0;0;0;1
diventare;1;1;2;0;0;0;1
concerto;2;0;0;0;2;0;0
comprendere;0;0;4;0;0;1;1
complesso;1;1;1;1;3;0;0
commensale;0;0;4;1;0;0;0
cassa;3;0;0;0;0;1;1
brunch;2;0;0;1;0;0;0
bellissima;2;0;1;0;2;0;1
autentico;0;0;0;2;1;1;1
aspetto;1;0;0;2;1;2;0
aspettativa;0;1;1;2;2;0;1
ascoltare;2;0;1;0;1;0;0
aria;2;0;0;0;2;0;2
alzare;2;0;1;0;0;0;1
alice;1;1;0;1;0;1;0
zuppa;3;0;0;0;0;0;1
voto;1;0;2;2;1;0;1
trippa;0;0;3;2;0;1;0
tortino;1;0;0;2;2;0;1
torno;0;0;1;0;1;2;1
tonno;1;0;0;1;2;0;0
spuntino;0;3;0;0;0;1;0
spettacolare;0;1;1;0;1;0;2
situare;0;0;0;1;1;1;0
sito;2;0;1;1;0;0;0
sedia;2;0;1;1;1;1;1
sconsigliare;1;0;1;2;0;0;0
rivisitare;1;1;2;1;1;1;0
ritardo;1;0;1;0;0;2;2
ricordo;1;0;2;1;0;1;0
recensione;1;0;1;0;0;2;2
raviolo;4;0;1;2;0;0;0
pubblico;2;0;0;2;0;1;0
prosciutto;0;2;1;1;1;0;0
presenza;1;0;1;0;3;1;0
preciso;3;0;0;1;0;1;0
pranzare;1;0;0;1;0;4;1
oliva;1;2;1;0;0;2;0
naturale;0;1;0;2;0;1;0
mesa|mese;2;0;1;0;0;1;0
mattina|mattino;0;1;0;1;0;1;2
margherita;0;5;0;1;0;0;0
mare;0;0;3;4;0;0;0
lavorare;0;1;0;0;0;1;2
informale;0;1;1;2;1;0;0
grado;1;0;0;0;1;0;1
girare;2;0;1;1;0;2;1
gestione;1;0;1;0;0;1;2
generoso;1;0;1;1;1;0;0
gambero;1;0;1;2;0;0;0
fratello;0;0;1;0;1;1;0
foto;0;1;1;0;0;1;1
fornire;0;1;1;0;1;1;2
fisso;1;0;1;0;4;0;0
filetto;0;4;1;1;0;0;0
fermo;2;1;0;1;0;1;1
elevato;0;1;1;1;1;0;0
consegnare;1;0;0;0;0;0;3
comprare;0;0;1;0;0;2;1
chiamare;1;1;0;0;1;1;3
centro;1;1;0;0;1;1;1
cece;0;0;0;2;2;0;1
caro;2;0;0;2;1;0;0
breve;0;1;0;1;1;2;1
bisognare;1;0;0;2;1;0;1
assurdo;3;0;1;1;0;0;1
asportare;1;3;0;0;0;0;1
arredare;3;1;0;0;0;0;0
aiutare;1;0;1;0;1;0;2
adorare;2;2;0;0;0;0;0
abbacchio;0;0;2;4;1;0;0
versione;1;1;0;0;1;0;2
usare;2;0;2;0;0;1;0
testaccio_che;0;0;0;1;1;2;1
temperatura;1;0;1;0;2;0;1
sublime;0;0;0;2;0;0;2
stomaco;1;1;0;1;1;0;0
spettacolo;1;0;1;1;1;0;0
sorriso;1;1;0;1;0;1;1
siciliano;0;0;1;1;0;0;1
scorso;0;1;0;0;1;0;1
scontrino;1;0;1;0;0;1;1
rucola;0;2;0;1;1;0;0
roll;1;0;0;0;0;1;1
richiedere;2;0;2;0;0;0;0
ricercare;1;0;0;0;2;1;0
restare;0;2;0;1;1;1;0
respirare;0;0;0;0;1;2;0
puntarelle;0;1;2;3;0;0;0
pugliese;0;0;1;1;1;0;0
programma;2;0;0;1;1;0;1
porta;0;0;1;2;0;1;2
pesante;0;1;2;1;0;0;1
pasticcino;0;0;0;0;0;1;3
passeggiata;0;1;0;0;0;3;2
parmigiano;1;2;0;0;0;0;0
ordinazione;2;0;1;1;0;0;0
oltre_che;1;2;0;0;1;1;1
morbido;0;1;1;2;1;0;0
minimo;3;0;2;0;0;0;1
matriciana;0;0;3;2;1;0;0
marito;0;2;0;0;0;1;1
