"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"filetto";0,317;0;0,879;0,827;0,3;0,317;0,268
"fermo";0,15;0,827;0,3;0,827;0,3;0,827;0,977
"elevato";0,418;0,502;0,545;0,502;0,545;0,418;0,37
"consegnare";0,502;0,418;0,401;0,418;0,401;0,418;0,001
"comprare";0,418;0,418;0,545;0,418;0,401;0,031;0,629
"chiamare";0,961;0,961;0,261;0,277;0,985;0,961;0,049
"centro";0,674;0,674;0,346;0,363;0,723;0,674;0,816
"cece";0,363;0,363;0,346;0,08;0,099;0,363;0,816
"caro";0,08;0,363;0,346;0,08;0,723;0,363;0,314
"breve";0,317;0,827;0,3;0,827;0,879;0,15;0,977
"bisognare";0,674;0,363;0,346;0,08;0,723;0,363;0,816
"assurdo";0,008;0,317;0,879;0,827;0,3;0,317;0,977
"asportare";0,674;0,002;0,346;0,363;0,346;0,363;0,816
"arredare";0;0,502;0,401;0,418;0,401;0,418;0,37
"aiutare";0,674;0,363;0,723;0,363;0,723;0,363;0,141
"adorare";0,031;0,031;0,401;0,418;0,401;0,418;0,37
"abbacchio";0,277;0,277;0,277;0,001;0,985;0,277;0,23
"versione";0,674;0,674;0,346;0,363;0,723;0,363;0,141
"usare";0,08;0,363;0,099;0,363;0,346;0,674;0,314
"testaccio_che";0,363;0,363;0,346;0,674;0,723;0,08;0,816
"temperatura";0,674;0,363;0,723;0,363;0,099;0,363;0,816
"sublime";0,418;0,418;0,401;0,031;0,401;0,418;0,062
"stomaco";0,502;0,502;0,401;0,502;0,545;0,418;0,37
"spettacolo";0,502;0,418;0,545;0,502;0,545;0,418;0,37
"sorriso";0,674;0,674;0,346;0,674;0,346;0,674;0,816
"siciliano";0,485;0,485;0,349;0,315;0,469;0,485;0,416
"scorso";0,485;0,315;0,469;0,485;0,349;0,485;0,416
"scontrino";0,502;0,418;0,545;0,418;0,401;0,502;0,629
"rucola";0,418;0,031;0,401;0,502;0,545;0,418;0,37
"roll";0,315;0,485;0,469;0,485;0,469;0,315;0,416
"richiedere";0,031;0,418;0,041;0,418;0,401;0,418;0,37
"ricercare";0,502;0,418;0,401;0,418;0,041;0,502;0,37
"restare";0,363;0,08;0,346;0,674;0,723;0,674;0,314
"respirare";0,485;0,485;0,469;0,485;0,349;0,007;0,44
"puntarelle";0,317;0,827;0,18;0,008;0,3;0,317;0,268
"pugliese";0,485;0,485;0,349;0,315;0,349;0,485;0,44
"programma";0,08;0,363;0,346;0,674;0,723;0,363;0,816
"porta";0,317;0,317;0,879;0,15;0,3;0,827;0,244
"pesante";0,363;0,674;0,099;0,674;0,346;0,363;0,816
"pasticcino";0,418;0,418;0,401;0,418;0,401;0,502;0,001
"passeggiata";0,317;0,827;0,3;0,317;0,3;0,008;0,244
"parmigiano";0,315;0,007;0,469;0,485;0,469;0,485;0,44
"ordinazione";0,031;0,418;0,545;0,502;0,401;0,418;0,37
"oltre_che";0,827;0,15;0,3;0,317;0,879;0,827;0,977
"morbido";0,363;0,674;0,723;0,08;0,723;0,363;0,314
"minimo";0,008;0,317;0,18;0,317;0,3;0,317;0,977
"matriciana";0,317;0,317;0,011;0,15;0,879;0,317;0,268
"marito";0,418;0,031;0,401;0,418;0,401;0,502;0,629
"luce";0,502;0,418;0,401;0,031;0,545;0,418;0,37
"linea";0,031;0,502;0,545;0,418;0,401;0,418;0,37
"lento";0,315;0,485;0,349;0,315;0,469;0,485;0,44
