"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"pos";-0,488;1,008;-0,523;-0,488;0,877;1,008;-0,597
"pomeriggio";1,008;-0,488;-0,523;-0,488;-0,523;7,324;-0,597
"plastica";-0,488;-0,488;6,739;-0,488;-0,523;1,008;-0,597
"piede";0,177;3,066;-0,888;0,177;-0,888;-0,827;0,054
"pazzesco";0,45;-0,656;-0,704;0,45;4,196;-0,656;-0,803
"parere";1,008;-0,488;-0,523;1,008;0,877;-0,488;-0,597
"parcheggio";9,495;-0,827;-0,888;-0,827;0,126;0,177;-1,013
"pajata";-0,827;0,177;0,126;9,495;-0,888;-0,827;-1,013
"paio";-0,827;0,177;0,126;0,177;0,126;-0,827;0,054
"pacare";-0,827;19,463;0,126;-0,827;-0,888;-0,827;-1,013
"orario";1,008;-0,488;-0,523;-0,488;-0,523;1,008;0,661
"musicista";1,008;-0,488;-0,523;-0,488;6,739;-0,488;-0,597
"mix";-0,488;-0,488;0,877;1,008;0,877;-0,488;-0,597
"migliore_che";0,177;-0,827;0,126;3,066;-0,888;-0,827;0,054
"metro";3,066;0,177;0,126;-0,827;-0,888;0,177;-1,013
"mattatoio";-0,656;-0,656;12,195;-0,656;-0,704;0,45;-0,803
"mano";-0,656;-0,656;0,366;0,45;0,366;0,45;-0,803
"maleducato";0,45;-0,656;0,366;-0,656;-0,704;-0,656;3,47
"limone";0,45;-0,656;-0,704;0,45;-0,704;-0,656;3,47
"leggere";-0,488;-0,488;6,739;-0,488;-0,523;-0,488;0,661
"inserire";-0,827;0,177;-0,888;9,495;-0,888;0,177;-1,013
"includere";0,45;-0,656;-0,704;4,629;0,366;-0,656;-0,803
"impossibile";0,45;-0,656;-0,704;0,45;0,366;0,45;-0,803
"immergere";-0,827;-0,827;-0,888;0,177;0,126;3,066;0,054
"gratis";0,45;-0,656;-0,704;-0,656;-0,704;0,45;3,47
"gradire";0,177;0,177;0,126;-0,827;2,728;-0,827;-1,013
"giustificare";0,45;-0,656;-0,704;0,45;4,196;-0,656;-0,803
"felice";-0,656;-0,656;0,366;0,45;-0,704;-0,656;3,47
"favoloso";-0,656;0,45;-0,704;0,45;-0,704;0,45;0,234
"esprimere";0,45;-0,656;0,366;-0,656;-0,704;0,45;0,234
"doc";-0,827;-0,827;0,126;9,495;0,126;-0,827;-1,013
"divanetti";13,194;-0,656;-0,704;-0,656;0,366;-0,656;-0,803
"disporre";0,45;0,45;-0,704;0,45;0,366;-0,656;-0,803
"disponibilità";3,066;-0,827;-0,888;-0,827;2,728;-0,827;0,054
"di_una_volta";-0,488;-0,488;-0,523;-0,488;-0,523;1,008;5,756
"dessert";-0,827;-0,827;0,126;3,066;2,728;-0,827;-1,013
"degustare";-0,656;-0,656;-0,704;-0,656;0,366;-0,656;10,513
"dedicare";-0,827;-0,827;8,696;0,177;0,126;-0,827;-1,013
"cotoletta";-0,488;-0,488;0,877;1,008;-0,523;-0,488;0,661
"costringere";0,45;0,45;0,366;-0,656;-0,704;0,45;-0,803
"contenuto";-0,656;-0,656;0,366;0,45;-0,704;0,45;0,234
"comune";-0,656;-0,656;-0,704;-0,656;4,196;0,45;0,234
"colore";0,45;-0,656;-0,704;-0,656;0,366;-0,656;3,47
"cipolla";-0,827;-0,827;0,126;0,177;-0,888;3,066;0,054
"centrifugo";-0,656;-0,656;-0,704;-0,656;-0,704;26,144;-0,803
"cattivo";-0,488;-0,488;-0,523;1,008;-0,523;1,008;0,661
"bufalo";-0,656;4,629;0,366;-0,656;0,366;-0,656;-0,803
"bisogno";-0,656;-0,656;-0,704;4,629;-0,704;0,45;0,234
"bellissimo";1,008;1,008;0,877;-0,488;-0,523;-0,488;-0,597
"banale";0,45;-0,656;0,366;-0,656;0,366;-0,656;0,234
"attirare";-0,656;4,629;-0,704;0,45;-0,704;-0,656;0,234
"attendere";4,629;-0,656;0,366;-0,656;-0,704;-0,656;0,234
"appetito";0,45;-0,656;0,366;0,45;0,366;-0,656;-0,803
"antico";1,008;-0,488;-0,523;1,008;-0,523;1,008;-0,597
"altissimo";-0,488;-0,488;0,877;1,008;0,877;-0,488;-0,597
"agio";-0,488;1,008;-0,523;-0,488;6,739;-0,488;-0,597
"affettato";-0,488;-0,488;-0,523;7,324;-0,523;-0,488;0,661
"adatto";3,066;-0,827;0,126;-0,827;0,126;0,177;-1,013
"acquistare";-0,488;1,008;-0,523;-0,488;-0,523;1,008;0,661
"accorgersi";0,45;-0,656;-0,704;0,45;0,366;-0,656;0,234
"accomodare";3,066;-0,827;2,728;-0,827;0,126;-0,827;-1,013
"accettare";1,008;-0,488;0,877;-0,488;-0,523;-0,488;0,661
"visciola";-0,488;-0,488;0,877;1,008;-0,523;-0,488;0,661
"viaggio";-0,488;-0,488;0,877;1,008;-0,523;1,008;-0,597
"velocità";4,629;0,45;0,366;-0,656;-0,704;-0,656;-0,803
"valido";0,45;0,45;-0,704;-0,656;4,196;-0,656;-0,803
"utilizzare";-0,488;-0,488;-0,523;-0,488;6,739;-0,488;0,661
"ungere";-0,656;0,45;0,366;4,629;-0,704;-0,656;-0,803
"titolo";-0,488;-0,488;-0,523;7,324;0,877;-0,488;-0,597
"titolare_che";-0,488;1,008;-0,523;-0,488;6,739;-0,488;-0,597
"tiramisu";-0,656;-0,656;0,366;4,629;0,366;-0,656;-0,803
"terzo";1,008;-0,488;0,877;-0,488;0,877;-0,488;-0,597
"supermercato";-0,488;-0,488;0,877;1,008;-0,523;1,008;-0,597
"struttura";-0,656;0,45;-0,704;0,45;0,366;0,45;-0,803
"stazione";-0,488;-0,488;0,877;-0,488;-0,523;1,008;0,661
"sporco";1,008;-0,488;0,877;-0,488;-0,523;-0,488;0,661
"sottofondo";0,45;-0,656;-0,704;0,45;4,196;-0,656;-0,803
"soluzione";7,324;1,008;-0,523;-0,488;-0,523;-0,488;-0,597
"simpaticissimo";0,45;-0,656;-0,704;-0,656;0,366;4,629;-0,803
"seguito";4,629;-0,656;0,366;-0,656;-0,704;0,45;-0,803
"segno";1,008;-0,488;0,877;1,008;-0,523;-0,488;-0,597
"scottare";-0,488;-0,488;0,877;-0,488;6,739;-0,488;-0,597
"sconto";4,629;-0,656;-0,704;0,45;0,366;-0,656;-0,803
"salvo";0,45;0,45;-0,704;-0,656;-0,704;-0,656;3,47
"rispettare";-0,656;-0,656;4,196;4,629;-0,704;-0,656;-0,803
"riprovare";-0,488;-0,488;0,877;7,324;-0,523;-0,488;-0,597
"riportare";4,629;-0,656;-0,704;-0,656;0,366;-0,656;0,234
"ripassata";-0,488;-0,488;6,739;-0,488;-0,523;1,008;-0,597
"riempire";-0,488;-0,488;-0,523;-0,488;0,877;1,008;0,661
"responsabile";7,324;-0,488;-0,523;1,008;-0,523;-0,488;-0,597
"regalare";1,008;-0,488;-0,523;-0,488;0,877;1,008;-0,597
"puntuale";-0,656;-0,656;0,366;0,45;0,366;-0,656;0,234
"profumare";0,45;-0,656;0,366;0,45;0,366;-0,656;-0,803
"principale";7,324;-0,488;-0,523;1,008;-0,523;-0,488;-0,597
"premettere";0,45;-0,656;0,366;0,45;-0,704;0,45;-0,803
"preferito";-0,656;-0,656;-0,704;4,629;-0,704;-0,656;3,47
"posizione";1,008;-0,488;6,739;-0,488;-0,523;-0,488;-0,597
"porcino";-0,488;1,008;-0,523;7,324;-0,523;-0,488;-0,597
"persone_che";13,194;0,45;-0,704;-0,656;-0,704;-0,656;-0,803
"pera";-0,656;-0,656;-0,704;0,45;12,195;-0,656;-0,803
"passione";-0,488;-0,488;-0,523;-0,488;-0,523;1,008;5,756
"passabile";0,45;-0,656;4,196;-0,656;-0,704;0,45;-0,803
"partita";-0,656;0,45;0,366;-0,656;0,366;-0,656;0,234
"parola";-0,488;-0,488;-0,523;-0,488;0,877;-0,488;5,756
"pace";1,008;-0,488;-0,523;-0,488;0,877;1,008;-0,597
"occhio";-0,656;0,45;-0,704;-0,656;0,366;0,45;0,234
"nutella";-0,488;1,008;-0,523;-0,488;-0,523;-0,488;5,756
"negativo";1,008;-0,488;0,877;-0,488;0,877;-0,488;-0,597
"mignon";-0,488;-0,488;-0,523;-0,488;-0,523;1,008;5,756
"meraviglioso";-0,488;-0,488;-0,523;1,008;0,877;1,008;-0,597
"menta";-0,488;-0,488;0,877;1,008;0,877;-0,488;-0,597
"maritozzo";0,45;-0,656;-0,704;-0,656;-0,704;0,45;3,47
"mantenere";-0,488;-0,488;-0,523;7,324;-0,523;-0,488;0,661
"mani|mano";1,008;-0,488;-0,523;-0,488;-0,523;-0,488;5,756
"ma_questo";7,324;-0,488;-0,523;-0,488;0,877;-0,488;-0,597
"lucere";1,008;1,008;-0,523;-0,488;-0,523;-0,488;0,661
"localino";-0,488;-0,488;-0,523;-0,488;-0,523;19,436;-0,597
