"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 132";0,00992005264382704;0,152600450385162;97,9591697412876
"facteur 133";0,00966799415060571;0,148723027455062;98,1078927687426
"facteur 134";0,00925018650655412;0,142295880649917;98,2501886493925
"facteur 135";0,00884991003937956;0,1361384164345;98,386327065827
"facteur 136";0,00869189133679245;0,133707610263418;98,5200346760904
"facteur 137";0,00840265309769063;0,129258250250897;98,6492929263413
"facteur 138";0,00811716000983264;0,124866502005883;98,7741594283472
"facteur 139";0,00776826313077489;0,119499411447616;98,8936588397949
"facteur 140";0,00761010238687616;0,11706642025102;99,0107252600459
"facteur 141";0,00740208498207363;0,113866482629664;99,1245917426755
"facteur 142";0,00684454322230696;0,105289801970426;99,229881544646
"facteur 143";0,00664649154320466;0,102243167389373;99,3321247120353
"facteur 144";0,00649149675640969;0,0998588782004463;99,4319835902358
"facteur 145";0,00621646289144811;0,0956280244770615;99,5276116147128
"facteur 146";0,00591174161996122;0,0909404885394599;99,6185521032523
"facteur 147";0,00561072925868764;0,0863100068725674;99,7048621101249
"facteur 148";0,00549921736807963;0,084594616305495;99,7894567264304
"facteur 149";0,00489745850406127;0,0753377426809777;99,8647944691113
"facteur 150";0,00448421167223878;0,0689807549793453;99,9337752240907
"facteur 151";0,00430505455054602;0,0662247759093111;100
