rosso	6
tavolino	4
freddo	21
richiesta	4
offerta	6
patata	12
cinema	3
palato	4
rapido	4
tiepido	4
invitante	4
trattoria	20
porcino	3
artigianale	3
pasticceria	6
vero	10
prosciutto	3
programma	3
sicuro	6
foto	4
leggero	6
fortuna	5
fritto	15
seguito	4
manco	4
conto	22
tranquillo	6
luogo	6
perfetto	6
gestione	3
via	26
servizio	76
bevanda	7
limitato	3
hamburger	8
cortese	9
biologico	3
ritardo	6
musico	24
festa	5
grande	17
carciofo	20
personalmente	4
giapponese	7
pane	6
pronto	3
pena	5
quartiere	3
vecchio	9
acquisto	3
tartufo	4
simpatia	4
occasione	5
idea	6
pecorino	10
responsabilità	3
nuovo	9
buono	119
piatto	68
drink	8
base	4
discreto	13
veloce	21
cottura	4
proprietario	13
bistecca	3
accettabile	3
impeccabile	6
norma	3
moglie	4
giudizio	3
complimento	8
spaghetto	7
pieno	7
birra	11
gradevole	5
mani|mano	3
fresco	10
polpetta	8
impasto	3
carne	28
gratis	3
personale	50
amico	30
maniera	3
vino	26
locale	134
professionalità	4
crema	5
cornetto	3
storia	3
interessante	6
gelato	17
cotoletta	4
pace	3
scorso	3
spiegazione	3
supplì	6
ristoratore	3
tradizionale	5
fatto	7
esperienza	12
giorno	8
euro	30
piccante	5
passato	5
zuppa	4
presentazione	3
difficile	9
rigatone	5
amaro	4
maleducato	5
figlio	3
capodanno	3
anno	18
zucca	7
positivo	12
esterno	5
classico	10
libero	4
massimo	4
tradizione	10
modico	4
semplice	7
mastro	3
sostanza	3
materia	5
rapporto	5
compagnia	4
insipido	3
ristorante	50
visita	4
problema	14
prossimo	4
coda	9
pietanza	5
aria	3
contorno	5
bambino	4
tavolo	56
spazio	8
carbonaro	22
fiore	4
musicista	3
metro	3
tipico	13
beneficenza	5
pomodoro	5
ingresso	3
prezzo	78
croccante	5
cliente	21
possibile	6
sporco	4
attenzione	6
solito	4
robot	4
ottimo	84
linea	3
piadina	9
oggi	13
cacio	19
ragazzo	9
atmosfera	13
osteria	3
luglio	3
peccato	18
delusione	3
livello	5
plastica	4
complesso	4
sorpresa	5
secco	8
splendido	3
gentile	34
attesa	9
fantastico	7
qualità	70
cuore	3
ragazza|ragazzo	12
compleanno	5
garanzia	3
passo	6
pausa	3
taglio	3
scadente	10
strepitoso	3
salato	8
crudo	6
precedente	4
misto	8
coppia	4
scontrino	6
grazia	9
cena	48
marito	3
sito	3
gestore	7
pesce	12
buonissimo	12
direttore	4
antipasto	28
terzo	3
abbondante	15
manzo	6
importante	3
torta	12
famiglia	11
sicuramente	25
pasta	19
inizio	4
banco	4
termine	3
gruppo	6
varietà	7
stazione	3
ultimo	5
filetto	3
duro	3
preparazione	3
ingrediente	8
eccezionale	8
