"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
" 0";" 12";" 0.00";"-2.28";"squisito";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"verdura";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"tradizionale";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"croccante";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"zucca";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"sugo";"0.13109103"
" 0";" 12";" 0.00";"-2.28";"economico";"0.13109103"
" 0";" 11";" 0.00";"-2.07";"pietanza";"0.15013109"
" 0";" 11";" 0.00";"-2.07";"familiare";"0.15013109"
" 0";" 11";" 0.00";"-2.07";"coda";"0.15013109"
" 0";" 11";" 0.00";"-2.07";"impasto";"0.15013109"
"*****";"*";"*";"*";"*";"*"
"0";"13";"0";"-2.49";"e_che";"0.11443"
"*";"*";"*";"*";"*";"*"
"0";"15";"0";"-2.93";"*RATING_4.6";"0.08702447"
"0";"11";"0";"-2.07";"*RATING_5";"0.15013109"
"0";"11";"0";"-2.07";"*RATING_4";"0.15013109"
"**";"classe";"5";"**";"";""
"****";"15";"123";"12.2";"****";""
"4";"77";"5.19";"-9.42";"personale";"0.002143329"
"1";"38";"2.63";"-4.70";"disponibile";"0.030218726"
"0";"26";"0.00";"-4.58";"cortese";"0.032365384"
"0";"25";"0.00";"-4.36";"gustoso";"0.036835674"
"0";"24";"0.00";"-4.14";"prodotto";"0.041846197"
"0";"21";"0.00";"-3.52";"cordiale";"0.060736553"
"0";"19";"0.00";"-3.12";"musico";"0.077289643"
"0";"19";"0.00";"-3.12";"fritto";"0.077289643"
"0";"18";"0.00";"-2.93";"delizioso";"0.087024467"
"1";"30";"3.33";"-2.91";"ingrediente";"0.088036114"
"0";"15";"0.00";"-2.37";"panino";"0.123474504"
"1";"27";"3.70";"-2.33";"fresco";"0.126946757"
"0";"14";"0.00";"-2.19";"fantastico";"0.138532051"
"0";"14";"0.00";"-2.19";"idea";"0.138532051"
"0";"14";"0.00";"-2.19";"vivamente";"0.138532051"
"2";"36";"5.56";"-2.10";"carino";"0.147744876"
"0";"13";"0.00";"-2.02";"cioccolato";"0.155347615"
"0";"13";"0.00";"-2.02";"super";"0.155347615"
"0";"13";"0.00";"-2.02";"ricco";"0.155347615"
"0";"13";"0.00";"-2.02";"gradevole";"0.155347615"
"*****";"*";"*";"*";"*";"*"
"2";"40";"5.00";"-2.87";"all";"0.09047601"
