"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"pane";1,258;-0,087;0,003;-0,71;-0,377;-0,045;0,768
"interno";-1,155;0,145;19,493;0,003;-1,155;-2,224;-1,56
"fantastico";-0,377;7,418;-0,592;-0,71;-2,194;-0,045;0,768
"esperienza";0,103;-5,214;4,626;1,707;1,11;-2,459;-0,393
"eccezionale";-0,003;-1,745;-1,044;-0,13;5,461;0,028;0,242
"grazia";-0,868;-1,976;0,143;-1,391;0,394;2,054;1,249
"vero";1,359;5,421;-0,293;-1,774;-0,107;-2,224;0,028
"peccato";6,237;-3,787;-2,95;-0,067;2,816;-0,191;0,375
"patata";0,021;-0,169;-0,003;-0,023;7,129;-0,107;-2,74
"nuovo";-0,734;2,121;4,026;1,249;-0,003;-3,83;-3,164
"delizioso";0,394;-1,976;3,448;-0,209;-2,929;0,55;0,143
"complimento";-0,023;-0,002;0,143;-0,209;-0,023;2,054;-1,209
"cioccolato";-0,275;-0,904;-2,331;0,829;-2,019;-2,823;27,788
"super";-2,019;0,37;-2,331;0,007;-2,019;9,54;0,03
"squisito";2,036;2,483;-0,336;-2,28;-1,847;-2,582;4,25
"sabato";-0,488;-3,517;-0,734;8,799;0,972;-0,107;-0,003
"oggi";-0,275;-0,029;0,03;-0,561;1,608;-0,008;0,03
"leggero";-0,868;-0,002;1,249;-1,391;-0,023;7,93;-3,382
"freddo";0,548;-4,061;-3,164;16,602;2,367;-0,293;-3,164
"discreto";3,957;-3,253;0,003;-0,71;8,161;-0,964;-0,592
"attesa";5,549;-0,002;-2,133;7,778;-1,847;-0,614;-2,133
"vicino";-0,003;-1,745;-0,07;3,448;-0,003;0,766;-1,044
"semplice";2,367;-0,393;-3,164;-0,13;0,548;2,506;-1,044
"quartiere";3,957;-0,087;0,003;-2,708;-0,377;0,31;0,003
"quantità";0,394;-1,976;-0,13;21,111;-0,023;-1,774;-3,382
"pollo";-2,555;0,816;1,93;4,065;-0,607;-1,354;-0,885
"formaggio";4,052;1,813;3,104;-1,665;-1,349;-1,886;-1,557
"carta";-0,377;0,212;2,886;-0,002;3,957;-3,068;-2,534
"vista";2,367;-0,393;-0,07;-0,13;-0,734;0,766;-0,07
"particolare";1,608;-2,993;0,03;6,606;-0,275;-0,008;-2,331
"lungo";2,367;8,095;-3,164;-0,13;-0,734;-3,83;0,242
"gentilezza";1,258;1,475;0,003;0,584;-0,377;-0,964;-2,534
"forno";0,548;-0,393;-1,044;-1,209;2,367;-1,56;4,026
"bar";-1,031;-1,528;1,356;4,733;-1,031;-1,441;1,356
"acqua";0,548;-0,393;1,561;1,249;-0,003;-3,83;-0,07
"verdura";0,248;-0,002;4,25;-2,28;-0,185;-2,582;1,395
"salato";-0,734;0,581;-0,07;0,143;0,548;-3,83;1,561
"ragazza|ragazzo";0,248;-0,002;-0,336;7,778;-0,185;-2,582;-0,336
"punto";-0,607;9,245;-0,885;-0,067;-0,607;-0,191;-0,027
"problema";-0,275;-0,904;-0,458;3,029;0,138;-0,784;1,046
"noto";-0,275;0,37;-0,458;3,029;1,608;-2,823;-0,458
"idea";-2,194;-0,087;11,182;0,584;-2,194;-0,964;0,003
"famiglia";-2,194;-0,087;0,768;-0,71;1,258;-0,964;2,886
"bottiglia";0,404;0,01;-0,227;-0,297;6,59;-0,456;-1,937
"ultimo";8,161;-1,1;-0,592;-0,002;-0,377;-0,045;0,003
"taglio";-1,512;-0,385;-1,746;-1,866;-0,049;23,087;-0,133
"stile";-0,607;-1,522;-0,885;25,498;0,738;-1,354;-2,95
"riso";-1,349;-1,999;7,645;2,718;-1,349;0,254;-1,557
"presente";0,248;-0,717;0,09;1,144;0,248;-2,582;0,09
"possibilità";-0,003;0,581;1,561;-3,382;-0,003;2,506;-3,164
"pezzo";1,608;-2,993;-0,458;0,829;0,138;-0,784;1,046
"pena";-2,555;5,42;-0,027;-3,153;0,002;0,084;0,375
"materia";-0,377;1,475;0,768;-0,71;0,064;-0,045;-0,592
"focaccia";-0,049;-0,385;2,392;-0,187;-0,049;0,112;-0,133
"bravo";-1,847;5,681;-0,336;-0,423;0,248;0,746;-2,133
"accoglienza";0,138;-0,029;12,758;-2,492;0,138;-0,784;-2,331
"vivamente";-0,377;7,418;0,003;-2,708;-2,194;-0,045;0,768
"tradizionale";2,036;-2,738;-0,336;-2,28;2,036;2,847;-0,336
"staff";-0,377;0,212;17,361;-2,708;-0,377;-0,045;-2,534
"sala";-0,185;-2,738;0,09;7,778;0,248;-2,582;0,09
"prenotazione";-0,185;-0,717;-0,336;13,313;2,036;-2,582;-2,133
"pietanza";12,48;-0,544;0,193;-2,071;0,404;-0,456;-1,937
"onesto";-1,512;14,167;0,349;-1,866;-1,512;0,112;-1,746
"croccante";2,036;-0,717;-2,133;-2,28;0,248;6,304;-0,336
"collega";-1,678;-0,544;1,835;-0,297;12,48;-0,456;-1,937
"cocktail";-0,011;-1,999;0,575;21,045;-1,349;-1,886;-1,557
"vecchio";1,258;-0,087;-0,592;-2,708;3,957;-0,045;0,003
"simpatia";1,608;0,37;-0,458;-2,492;0,138;-0,008;0,03
"ricco";0,138;0,37;12,758;-2,492;-2,019;-0,008;-2,331
"resto";-2,019;-0,029;1,046;0,007;4,683;-0,008;-2,331
"proposta";0,138;-0,904;3,506;-0,561;0,138;-0,784;0,03
"positivo";-0,049;-2,241;0,349;-0,187;3,223;-0,313;0,349
"pomodoro";-0,488;0,103;-0,003;-0,868;0,972;3,657;-2,74
"originale";3,223;0,066;-0,133;-0,187;0,619;-2,114;-0,133
"minuto";-0,109;-0,544;0,193;-0,297;6,59;-0,456;-0,227
"giro";-0,377;-1,1;-0,592;0,584;1,258;0,31;0,003
"giovane";-0,109;-2,487;1,835;0,122;0,404;1,076;-1,937
"giapponese";-0,574;-0,851;-0,663;24,118;-0,574;-0,803;-0,663
"costo";-0,049;-2,241;-0,133;2,057;3,223;-0,313;-0,133
"banco";-1,512;4,041;-0,133;0,251;-1,512;1,509;-1,746
"zucca";-1,847;-2,738;-2,133;-2,28;10,786;6,304;0,09
"rosso";-0,109;-0,544;-0,227;-0,297;2,565;-0,456;1,835
"pronto";-1,349;-0,244;0,575;-0,096;-1,349;0,254;3,104
"perfetto";-0,011;0,182;0,575;-1,665;-0,011;2,079;-1,557
"insalata";-1,188;0,38;9,403;-1,467;1,31;-1,661;-1,372
"familiare";-0,109;-0,544;0,193;-2,071;-0,109;3,586;0,193
"cura";-1,188;2,522;9,403;-1,467;0,001;-1,661;-1,372
"cuore";0,912;0,182;0,575;-0,096;-0,011;-0,189;-1,557
"colazione";-1,188;0,38;-0,013;-1,467;-1,188;-0,089;9,403
"coda";0,404;-2,487;-1,937;-2,071;20,234;1,076;-1,937
"base";-0,377;-0,087;0,768;-0,71;-0,377;0,31;0,768
"tranquillo";-0,049;-2,241;0,349;0,251;-0,049;0,112;0,349
"sugo";2,036;-0,002;-2,133;-2,28;10,786;-0,614;-0,336
"strepitoso";-0,109;0,01;0,193;0,122;0,404;-0,456;-0,227
"spazio";3,223;-0,385;-0,133;2,057;-0,049;-0,313;-1,746
"sorpresa";-1,678;3,175;-1,937;0,122;-0,109;0,033;0,193
"secco";-1,512;-0,385;-0,133;-0,187;7,859;-0,313;0,349
"scarso";-0,011;0,182;-1,557;-0,096;-0,011;-0,189;3,104
"salso";0,619;-0,385;11,962;-0,187;-1,512;-0,313;-1,746
"pausa";-1,512;0,066;-0,133;0,251;-1,512;4,505;-0,133
"ordine";-0,185;0,59;0,09;3,722;-0,185;-2,582;-0,336
"occasione";-0,185;-0,002;-2,133;3,722;-1,847;0,002;1,395
"mozzarella";-1,847;-0,717;-2,133;-0,423;0,248;17,287;-0,336
"misto";-0,049;-0,385;11,962;-1,866;0,619;-2,114;-0,133
"luogo";3,223;-2,241;0,349;-0,187;-0,049;1,509;-1,746
"livello";-0,011;-0,244;-0,06;6,908;-0,011;-0,189;-1,557
"impeccabile";-0,049;0,066;6,263;-0,187;-0,049;-0,313;-1,746
"impasto";-1,678;3,175;-0,227;-2,071;-0,109;3,586;-0,227
"gradevole";1,608;-0,904;1,046;0,829;-2,019;-0,008;-0,458
"gestore";0,001;-0,126;-1,372;-0,031;0,001;7,154;-1,372
"fatto";0,619;0,066;-0,133;-0,187;0,619;-0,313;-0,133
"domenica";0,001;-0,126;-1,372;8,567;0,001;-1,661;-0,013
"contorno";-0,011;-1,999;-0,06;-1,665;17,05;0,254;-1,557
"cicoria";-0,049;-2,241;-0,133;-1,866;23,231;0,112;-1,746
"bruschetta";-1,031;-1,528;5,254;1,154;0,03;-0,021;-1,19
"basso";-0,185;-0,002;-2,133;-0,423;17,748;-0,614;-0,336
"baccalà";-2,019;-0,029;-0,458;-2,492;4,683;2,247;0,03
"vivo";12,48;-2,487;-0,227;0,122;-1,678;-0,456;0,193
"rapido";1,31;6,552;0,898;-1,467;-1,188;-1,661;-1,372
"posto";-0,049;4,041;-0,133;-0,187;3,223;-2,114;-1,746
"pecorino";1,859;0,693;-1,19;-1,272;1,859;-0,021;-1,19
"pecca";0,619;0,066;-1,746;-1,866;0,619;0,112;0,349
"pasto";0,248;5,681;-0,336;-0,423;-1,847;0,002;-0,336
"passato";-1,512;1,285;-1,746;-0,187;3,223;0,112;-0,133
"olio";-0,011;0,182;0,575;2,718;-0,011;-1,886;-1,557
"fiore";-1,512;-2,241;-1,746;-1,866;0,619;9,1;2,392
"economico";-1,847;0,59;0,09;-2,28;2,036;-0,614;1,395
"crudo";-1,349;-0,244;-0,06;-0,096;-0,011;0,254;3,104
"condimento";-0,109;0,888;-0,227;-0,297;-1,678;3,586;-0,227
"buffet";0,296;-1,073;0,167;8,586;-0,724;-1,012;-0,836
"bibita";-1,349;1,813;-0,06;2,718;-1,349;0,254;-1,557
"bevanda";0,001;0,38;0,898;3,581;-1,188;-1,661;-1,372
"bancone";-0,876;-1,299;2,016;1,765;-0,876;0,001;0,043
"attenzione";-1,512;-0,385;0,349;5,606;-0,049;-0,313;-0,133
"tagliere";0,296;-1,073;9,331;-0,893;0,296;-1,012;-0,836
"storico";-0,011;0,182;-1,557;-0,096;0,912;-0,189;0,575
"splendido";4,052;-0,244;0,575;-0,096;-0,011;-1,886;-0,06
"speciale";0,619;-0,385;2,392;2,057;-1,512;-2,114;-0,133
"rustico";0,912;-0,244;-0,06;-1,665;-1,349;-0,189;7,645
"romanesco";8,419;-1,299;-1,012;-1,081;-0,876;1,35;0,043
"professionalità";-0,049;-0,385;0,349;2,057;-1,512;0,112;-0,133
"professionale";20,234;0,01;-1,937;-0,297;-1,678;-0,456;-0,227
"piazza";0,03;-1,528;0,001;-1,272;-1,031;9,111;0,001
"panna";-1,349;-1,999;-1,557;-1,665;-0,011;-1,886;45,941
"manzo";0,296;-1,073;2,999;0,12;0,296;-1,012;-0,836
"ideale";-0,876;1,178;-1,012;0,021;-0,876;5,274;-1,012
"hamburger";-0,876;1,178;0,043;0,021;2,632;-1,225;-1,012
"gruppo";-1,512;-0,385;0,349;5,606;3,223;-2,114;-1,746
"genuino";-1,512;1,285;2,392;-1,866;-1,512;0,112;0,349
"fungo";-0,011;-0,244;-0,06;-1,665;-0,011;0,254;3,104
"crema";-0,109;-2,487;-1,937;-0,297;6,59;-2,346;10,149
"bicchiere";0,001;-0,126;4,028;0,736;-1,188;-0,089;-1,372
"bambino";-1,031;-1,528;-1,19;-1,272;-1,031;3,856;11,695
"amichevole";-1,349;-0,244;7,645;-0,096;-0,011;-0,189;-0,06
"visita";0,001;-0,126;4,028;-0,031;-1,188;-0,089;-0,013
"scadente";-0,011;-1,999;3,104;6,908;-0,011;-1,886;-1,557
"salume";3,763;0,032;2,999;-0,893;-0,724;-1,012;-0,836
"richiesta";2,632;-1,299;0,043;0,021;0,118;-1,225;0,043
"possibile";1,31;0,38;-1,372;-0,031;5,117;-1,661;-1,372
"pistacchio";0,03;-1,528;0,001;-0,001;-1,031;-1,441;11,695
"passaggio";-0,049;-0,385;-0,133;-0,187;-0,049;0,112;2,392
"palato";1,859;-0,041;0,001;-1,272;-1,031;0,826;0,001
"osteria";1,859;-1,528;-1,19;-1,272;1,859;3,856;-1,19
"offerta";9,431;-0,244;-1,557;-0,096;4,052;-1,886;-1,557
"norma";0,118;-0,001;-1,012;-1,081;-0,876;0,001;6,932
"interessante";6,517;-0,041;1,356;-0,001;-1,031;-1,441;-1,19
"facile";0,001;-0,126;0,898;-0,031;-1,188;-1,661;4,028
"drink";-0,427;-0,633;0,983;6,664;-0,427;-0,597;-0,493
"difficile";0,912;-0,244;-0,06;2,718;0,912;-1,886;-1,557
"cordialità";1,31;-0,126;-1,372;-1,467;-1,188;13,436;-1,372
"certo";-1,349;-1,999;7,645;-1,665;-0,011;2,079;-0,06
"biscotto";-1,349;-0,244;3,104;-0,096;-1,349;-1,886;7,645
"amante";2,632;-1,299;2,016;0,021;-0,876;0,001;-1,012
"vegetariano";0,912;-0,244;3,104;-1,665;-1,349;0,254;-0,06
"vasto";-1,031;0,693;11,695;-0,001;-1,031;-1,441;-1,19
"top";0,296;-1,073;0,167;0,12;0,296;0,054;-0,836
"teatro";3,763;0,032;-0,836;0,12;-0,724;0,054;-0,836
"tartufo";-0,427;-0,633;-0,493;-0,527;-0,427;0,658;7,21
"signore";0,118;-1,299;-1,012;0,021;-0,876;0,001;6,932
"sicuro";-1,031;0,693;-1,19;1,154;0,03;0,826;-1,19
"scoperta";4,052;-0,244;0,575;-1,665;-1,349;0,254;-0,06
"ripieno";-1,188;-1,762;-1,372;-1,467;-1,188;7,154;9,403
"patatina";-1,188;0,38;0,898;3,581;-1,188;-0,089;-1,372
"passo";6,517;0,693;-1,19;-1,272;0,03;-1,441;0,001
"modico";-1,349;1,813;-1,557;-0,096;-1,349;2,079;0,575
"moderno";-0,724;-1,073;0,167;2,684;3,763;-1,012;-0,836
"massimo";0,912;-0,244;3,104;0,448;-0,011;-1,886;-1,557
"leggermente";6,517;-0,041;5,254;-1,272;-1,031;-1,441;-1,19
"guanciale";0,633;0,183;-0,663;-0,709;5,518;-0,803;-0,663
"frutta";-0,876;4,83;-1,012;1,765;-0,876;-1,225;0,043
"festa";-0,724;-1,073;0,167;8,586;-0,724;-1,012;0,167
"famoso";6,517;-1,528;1,356;-0,001;-1,031;-1,441;0,001
"esterno";1,859;-1,528;1,356;-0,001;0,03;-1,441;0,001
"coppia";-0,011;-0,244;7,645;-0,096;0,912;-1,886;-1,557
"consegna";-1,188;2,522;-1,372;-0,031;0,001;-0,089;0,898
"calice";0,001;-1,762;4,028;-0,031;5,117;-1,661;-1,372
"bianco";-1,349;-0,244;-0,06;-0,096;-1,349;0,254;7,645
"avviso";-0,724;0,032;0,167;0,12;0,296;0,054;-0,836
"assaggio";1,31;-0,126;-0,013;-0,031;1,31;-1,661;-0,013
"artigianale";-1,188;-0,126;-1,372;-1,467;-1,188;2,835;9,403
"amaro";0,912;-0,244;0,575;-0,096;0,912;-0,189;-1,557
"vuoto";-1,188;0,38;-0,013;8,567;-1,188;-0,089;-1,372
"turista";11,123;-1,073;-0,836;-0,893;0,296;0,054;-0,836
"titolare";-0,011;-0,244;0,575;-0,096;-1,349;2,079;-0,06
"specie";1,31;-1,762;-0,013;0,736;0,001;-0,089;-0,013
"spaghetto";17,479;-1,299;2,016;-1,081;-0,876;-1,225;-1,012
"sorridente";-1,188;-1,762;4,028;0,736;-1,188;0,48;-0,013
"sfizioso";0,001;0,38;-0,013;8,567;-1,188;-1,661;-1,372
"settimana";-1,349;0,182;0,575;-1,665;4,052;-0,189;-0,06
"rigatone";14,004;-1,528;-1,19;-1,272;0,03;0,826;-1,19
"ricotta";17,479;-1,299;0,043;-1,081;-0,876;-1,225;0,043
"raffinato";0,03;-1,528;20,68;-1,272;-1,031;-0,021;-1,19
"prossimo";0,001;0,38;-1,372;-0,031;-1,188;2,835;-0,013
"preparazione";0,001;-1,762;0,898;8,567;-1,188;-1,661;-0,013
"particolarmente";1,31;-1,762;0,898;3,581;-1,188;-1,661;-0,013
"melanzana";0,03;-0,041;1,356;-1,272;-1,031;0,826;0,001
"lista";11,123;-1,073;-0,836;2,684;-0,724;-1,012;-0,836
"italiano";-0,876;-1,299;-1,012;23,83;-0,876;0,001;-1,012
"intimo";0,118;-1,299;25,589;-1,081;-0,876;-1,225;-1,012
"inizio";-0,876;-1,299;0,043;0,021;2,632;-1,225;2,016
"fortuna";-1,349;1,813;0,575;2,718;-1,349;-1,886;-0,06
"forte";5,518;-0,851;-0,663;-0,709;-0,574;0,232;0,434
"figlio";0,03;0,693;-1,19;1,154;-1,031;-0,021;0,001
"cottura";1,859;-0,041;1,356;-0,001;0,03;-1,441;-1,19
"cortesia";1,859;0,693;0,001;-0,001;-1,031;-1,441;0,001
"cornetto";-0,724;-1,073;-0,836;0,12;-0,724;0,054;9,331
"compleanno";5,117;-1,762;-0,013;-0,031;0,001;-1,661;0,898
"compagnia";-1,188;-1,762;0,898;0,736;1,31;0,48;-1,372
"bagno";0,03;-1,528;-1,19;10,736;0,03;-1,441;0,001
"vita";1,31;-0,126;-1,372;-1,467;-1,188;-0,089;9,403
"superlativo";0,118;1,178;-1,012;0,021;0,118;0,001;-1,012
"superiore";0,296;0,032;-0,836;-0,893;0,296;-1,012;2,999
"strada";-1,188;2,522;-0,013;3,581;0,001;-1,661;-1,372
"stella";2,632;-0,001;-1,012;1,765;0,118;-1,225;-1,012
"sottile";0,001;2,522;-1,372;-1,467;1,31;0,48;-1,372
"solito";0,296;0,032;-0,836;-0,893;-0,724;-1,012;9,331
"soddisfacente";1,859;-1,528;0,001;-0,001;6,517;-1,441;-1,19
"salsiccia";0,118;-1,299;-1,012;-1,081;2,632;1,35;0,043
"salmone";-0,724;0,032;0,167;8,586;-0,724;-1,012;-0,836
"ricerca";0,03;-0,041;0,001;1,154;0,03;-1,441;0,001
"profumo";0,296;1,935;0,167;-0,893;-0,724;-1,012;0,167
"polpo";0,633;-0,851;0,434;4,139;-0,574;-0,803;-0,663
"pizzetta";-0,574;-0,851;-0,663;-0,709;-0,574;-0,803;25,78
"personalmente";-0,876;4,83;-1,012;-1,081;0,118;0,001;0,043
"moglie";0,633;-0,851;0,434;-0,709;-0,574;0,232;0,434
"manco";0,118;-0,001;0,043;0,021;-0,876;0,001;0,043
"invitante";-0,876;-0,001;0,043;0,021;0,118;0,001;0,043
"insieme";1,859;-1,528;1,356;-0,001;0,03;-1,441;0,001
"fila|filo";0,118;1,178;-1,012;0,021;-0,876;0,001;0,043
"elegante";-0,876;-1,299;14,789;0,021;0,118;-1,225;-1,012
"efficiente";2,632;-0,001;-1,012;0,021;0,118;0,001;-1,012
"domicilio";-0,876;1,178;0,043;-1,081;0,118;0,001;0,043
"concerto";-0,574;-0,851;4,543;4,139;-0,574;-0,803;-0,663
"complesso";0,03;-1,528;5,254;-0,001;0,03;-0,021;-1,19
"commensale";0,296;-1,073;-0,836;-0,893;22,377;-1,012;-0,836
"cassa";-1,031;-1,528;-1,19;30,019;-1,031;-1,441;0,001
"autentico";0,633;-0,851;0,434;-0,709;-0,574;0,232;0,434
"aspetto";2,632;-1,299;0,043;1,765;-0,876;-1,225;0,043
"aspettativa";2,632;-1,299;0,043;-1,081;0,118;0,001;0,043
"aria";-1,188;-0,126;0,898;0,736;-1,188;-0,089;0,898
"alice";0,118;-0,001;-1,012;0,021;2,632;0,001;-1,012
"zuppa";-0,724;0,032;0,167;2,684;-0,724;-1,012;0,167
"voto";1,859;-1,528;0,001;-0,001;1,859;-1,441;0,001
"trippa";0,296;-1,073;-0,836;-0,893;11,123;0,054;-0,836
"tortino";15,23;-0,851;-0,663;0,356;-0,574;-0,803;-0,663
"torno";-0,574;3,166;0,434;-0,709;0,633;-0,803;-0,663
"tonno";0,296;0,032;0,167;0,12;0,296;-1,012;-0,836
"spuntino";-1,031;0,693;-1,19;-1,272;0,03;3,856;0,001
"spettacolare";-0,876;-0,001;0,043;-1,081;0,118;0,001;2,016
